// NONPREADJUSTED FINAL,,,,// PREADJUSTED FINAL,,
Weight (N)*,Altitude (feet) ,ROC (feet/min),,Weight (N)*,Altitude (feet) ,ROC (feet/min)*
2234130.642,35,2357,,2234130.642,35,2168.44
2233923.179,198,2349,,2233906.861,198,2161.08
2233714.737,361,2341,,2233682.022,361,2153.72
2233507.297,523,2333,,2233458.264,523,2146.36
2233299.837,686,2325,,2233234.486,686,2139
2233091.396,849,2317,,2233009.649,849,2131.64
2232883.937,1012,2309,,2232785.871,1012,2124.28
2232676.5,1174,2301,,2232562.116,1174,2116.92
2232468.061,1337,2293,,2232337.282,1337,2109.56
2232260.604,1500,2285,,2232113.507,1500,2102.2
2230757.266,1500,2993,,2230489.902,1500,2753.56
2230332.912,1947,2967,,2230032.363,1947,2729.64
2229909.52,2395,2941,,2229575.866,2395,2705.72
2229486.153,2842,2914,,2229119.395,2842,2680.88
2229061.81,3289,2888,,2228661.868,3289,2656.96
2228637.448,3737,2861,,2228204.324,3737,2632.12
2228213.112,4184,2834,,2227746.805,4184,2607.28
2227788.758,4632,2807,,2227289.268,4632,2582.44
2227363.448,5079,2779,,2226830.698,5079,2556.68
2226938.142,5526,2750,,2226372.132,5526,2530
2226511.837,5974,2720,,2225912.489,5974,2502.4
2226085.557,6421,2690,,2225452.871,6421,2474.8
2225657.32,6868,2659,,2224991.139,6868,2446.28
2225229.065,7316,2629,,2224529.39,7316,2418.68
2224799.855,7763,2598,,2224066.607,7763,2390.16
2224368.666,8211,2566,,2223601.689,8211,2360.72
2223937.501,8658,2534,,2223136.796,8658,2331.28
2223504.379,9105,2502,,2222669.788,9105,2301.84
2223070.259,9553,2470,,2222201.705,9553,2272.4
2222634.203,10000,2437,,2221731.529,10000,2242.04
2221328.082,10000,2569,,2220320.918,10000,2363.48
2220192.029,11180,2473,,2219095.998,11180,2275.16
2219041.293,12360,2375,,2217855.221,12360,2185
2217873.913,13540,2275,,2216596.469,13540,2093
2216686.95,14720,2174,,2215316.565,14720,2000.08
2215479.422,15900,2077,,2214014.453,15900,1910.84
2214249.369,17080,1986,,2212688.014,17080,1827.12
2212994.853,18259,1893,,2211335.152,18259,1741.56
2211711.91,19439,1800,,2209951.591,19439,1656
2210397.621,20619,1709,,2208534.176,20619,1572.28
2209050.026,21799,1620,,2207080.791,21799,1490.4
2207664.223,22979,1531,,2205586.141,22979,1408.52
2206235.313,24159,1444,,2204044.935,24159,1328.48
2204757.413,25339,1357,,2202450.82,25339,1248.44
2203224.643,26519,1264,,2200797.446,26519,1162.88
2201624.259,27699,1172,,2199071.049,27699,1078.24
2199947.441,28879,1081,,2197262.102,28879,994.52
2198179.485,30059,991,,2195354.727,30059,911.72
2196291.963,31239,887,,2193318.22,31239,816.04
2194248.627,32418,787,,2191113.433,32418,724.04
2194248.627,32418,1146,,2191113.433,32418,1054.32
2194012.315,32607,1126,,2190858.538,32607,1035.92
2193774.063,32795,1106,,2190601.548,32795,1017.52
2193531.87,32984,1086,,2190340.303,32984,999.12
2193287.738,33172,1065,,2190076.962,33172,979.8
2193040.645,33361,1044,,2189810.424,33361,960.48
2192790.633,33549,1023,,2189540.732,33549,941.16
2192536.679,33738,1001,,2189266.786,33738,920.92
2192278.826,33926,979,,2188988.625,33926,900.68
2192018.012,34115,956,,2188707.269,34115,879.52
2191751.337,34303,933,,2188419.582,34303,858.36
2191480.721,34492,909,,2188127.64,34492,836.28
2191205.226,34680,885,,2187830.426,34680,814.2
2190923.828,34869,860,,2187526.84,34869,791.2
2190636.571,35057,834,,2187216.923,35057,767.28
2190342.431,35246,803,,2186899.575,35246,738.76
2190038.51,35434,771,,2186571.661,35434,709.32
2189725.746,35623,738,,2186234.199,35623,678.96
2189401.24,35811,704,,2185884.054,35811,647.68
2189063.97,36000,669,,2185520.126,36000,615.48
1972316.547,36000,1013,,1951432.91,36000,931.96
1972178.301,36105,899,,1951283.783,36105,827.08
1972032.193,36211,883,,1951126.168,36211,812.36
1971883.164,36316,867,,1950965.395,36316,797.64
1971733.154,36421,850,,1950803.564,36421,782
1971581.184,36526,834,,1950639.616,36526,767.28
1971426.255,36632,817,,1950472.474,36632,751.64
1971269.384,36737,800,,1950303.233,36737,736
1971109.572,36842,783,,1950130.816,36842,720.36
1970947.8,36947,765,,1949956.282,36947,703.8
1970783.069,37053,748,,1949778.553,37053,688.16
1970615.416,37158,730,,1949597.667,37158,671.6
1970443.842,37263,713,,1949412.546,37263,655.96
1970270.307,37368,695,,1949225.309,37368,639.4
1970091.853,37474,676,,1949032.759,37474,621.92
1969910.477,37579,658,,1948837.052,37579,605.36
1969725.18,37684,639,,1948637.111,37684,587.88
1969534.982,37789,621,,1948431.877,37789,571.32
1969339.864,37895,602,,1948221.33,37895,553.84
1969139.863,38000,582,,1948005.509,38000,535.44
1790710.966,38000,875,,1755302.301,38000,805
1790573.885,38105,857,,1755154.433,38105,788.44
1790435.807,38211,840,,1755005.489,38211,772.8
1790295.785,38316,822,,1754854.445,38316,756.24
1790153.803,38421,804,,1754701.284,38421,739.68
1790008.881,38526,785,,1754544.947,38526,722.2
1789861.001,38632,767,,1754385.418,38632,705.64
1789711.177,38737,748,,1754223.788,38737,688.16
1789558.413,38842,730,,1754058.982,38842,671.6
1789402.709,38947,711,,1753891.001,38947,654.12
1789244.046,39053,694,,1753719.827,39053,638.48
1789082.46,39158,679,,1753545.494,39158,624.68
1788917.934,39263,664,,1753367.985,39263,610.88
1788749.487,39368,649,,1753186.241,39368,597.08
1788579.062,39474,633,,1753002.364,39474,582.36
1788404.734,39579,618,,1752814.269,39579,568.56
1788227.465,39684,602,,1752622.998,39684,553.84
1788045.295,39789,586,,1752426.434,39789,539.12
1787859.187,39895,570,,1752225.618,39895,524.4
1787669.176,40000,553,,1752020.585,40000,508.76
1566187.406,40000,947,,1512820.274,40000,871.24
1566016.429,40158,926,,1512635.889,40158,851.92
1565842.512,40316,904,,1512448.328,40316,831.68
1565665.654,40474,883,,1512257.592,40474,812.36
1565485.856,40632,860,,1512063.68,40632,791.2
1565302.153,40789,838,,1511865.549,40789,770.96
1565115.494,40947,815,,1511664.227,40947,749.8
1564924.915,41105,792,,1511458.672,41105,728.64
1564729.434,41263,768,,1511247.823,41263,706.56
1564530.034,41421,745,,1511032.741,41421,685.4
1564324.752,41579,720,,1510811.306,41579,662.4
1564115.55,41737,696,,1510585.638,41737,640.32
1563899.487,41895,671,,1510352.56,41895,617.32
1563676.562,42053,645,,1510112.071,42053,593.4
1563446.776,42211,619,,1509864.172,42211,569.48
1563209.164,42368,593,,1509607.819,42368,545.56
1562962.714,42526,566,,1509341.924,42526,520.72
1562706.464,42684,539,,1509065.443,42684,495.88
1562438.45,42842,512,,1508776.259,42842,471.04
1562158.675,43000,483,,1508474.371,43000,444.36
2072811.997,35,2580,,2072811.997,35,2373.6
2072625.294,198,2572,,2072610.388,198,2366.24
2072438.591,361,2564,,2072408.779,361,2358.88
2072251.888,523,2556,,2072207.17,523,2351.52
2072065.185,686,2548,,2072005.561,686,2344.16
2071878.482,849,2540,,2071803.952,849,2336.8
2071691.779,1012,2531,,2071602.343,1012,2328.52
2071505.077,1174,2523,,2071400.734,1174,2321.16
2071318.374,1337,2515,,2071199.125,1337,2313.8
2071131.671,1500,2507,,2070997.517,1500,2306.44
2069693.081,1500,3347,,2069444.071,1500,3079.24
2069322.625,1947,3320,,2069044.038,1947,3054.4
2068952.169,2395,3292,,2068644.006,2395,3028.64
2068580.731,2842,3265,,2068242.913,2842,3003.8
2068210.276,3289,3237,,2067842.881,3289,2978.04
2067839.821,3737,3208,,2067442.849,3737,2951.36
2067469.366,4184,3180,,2067042.818,4184,2925.6
2067098.912,4632,3151,,2066642.787,4632,2898.92
2066728.457,5079,3122,,2066242.756,5079,2872.24
2066357.021,5526,3091,,2065841.665,5526,2843.72
2065985.585,5974,3059,,2065440.574,5974,2814.28
2065614.149,6421,3028,,2065039.483,6421,2785.76
2065241.73,6868,2996,,2064637.331,6868,2756.32
2064869.312,7316,2963,,2064235.18,7316,2725.96
2064495.912,7763,2931,,2063831.968,7763,2696.52
2064122.511,8211,2897,,2063428.756,8211,2665.24
2063748.129,8658,2864,,2063024.483,8658,2634.88
2063372.764,9105,2830,,2062619.149,9105,2603.6
2062996.417,9553,2796,,2062212.755,9553,2572.32
2062619.087,10000,2761,,2061805.3,10000,2540.12
2061507.735,10000,2837,,2060605.219,10000,2610.04
2060474.013,11213,2733,,2059488.966,11213,2514.36
2059428.501,12425,2626,,2058359.983,12425,2415.92
2058369.235,13638,2517,,2057216.146,13638,2315.64
2057292.284,14850,2407,,2056053.213,14850,2214.44
2056197.648,16063,2298,,2054871.183,16063,2114.16
2055083.362,17275,2199,,2053667.934,17275,2023.08
2053948.443,18488,2098,,2052442.405,18488,1930.16
2052788.962,19701,1996,,2051190.353,19701,1836.32
2051602.953,20913,1898,,2049909.654,20913,1746.16
2050387.469,22126,1801,,2048597.128,22126,1656.92
2049139.562,23338,1704,,2047249.589,23338,1567.68
2047854.318,24551,1610,,2045861.734,24551,1481.2
2046527.809,25763,1511,,2044429.318,25763,1390.12
2045152.174,26976,1410,,2042943.854,26976,1297.2
2043720.534,28188,1310,,2041397.915,28188,1205.2
2042223.065,29401,1211,,2039780.89,29401,1114.12
2040646.011,30614,1105,,2038077.926,30614,1016.6
2038967.755,31826,995,,2036265.681,31826,915.4
2037161.77,33039,891,,2034315.508,33039,819.72
2037161.77,33039,1302,,2034315.508,33039,1197.84
2036996.696,33195,1286,,2034137.255,33195,1183.12
2036829.658,33350,1270,,2033956.881,33350,1168.4
2036661.637,33506,1253,,2033775.445,33506,1152.76
2036492.633,33662,1237,,2033592.949,33662,1138.04
2036321.665,33818,1220,,2033408.33,33818,1122.4
2036149.713,33974,1203,,2033222.65,33974,1106.76
2035976.78,34130,1186,,2033035.91,34130,1091.12
2035801.881,34286,1168,,2032847.047,34286,1074.56
2035625.017,34441,1150,,2032656.063,34441,1058
2035447.17,34597,1133,,2032464.018,34597,1042.36
2035267.359,34753,1114,,2032269.85,34753,1024.88
2035085.582,34909,1096,,2032073.561,34909,1008.32
2034901.84,35065,1075,,2031875.149,35065,989
2034716.134,35221,1051,,2031674.616,35221,966.92
2034526.497,35377,1027,,2031469.839,35377,944.84
2034334.895,35532,1003,,2031262.939,35532,922.76
2034139.362,35688,978,,2031051.796,35688,899.76
2033940.882,35844,953,,2030837.47,35844,876.76
2033738.472,36000,928,,2030618.899,36000,853.76
1972874.591,36000,1012,,1964895.736,36000,931.04
1972738.029,36105,899,,1964748.271,36105,827.08
1972593.608,36211,883,,1964592.32,36211,812.36
1972447.222,36316,866,,1964434.246,36316,796.72
1972297.889,36421,850,,1964272.99,36421,782
1972147.573,36526,833,,1964110.674,36526,766.36
1971994.31,36632,817,,1963945.174,36632,751.64
1971839.082,36737,800,,1963777.553,36737,736
1971680.907,36842,783,,1963606.749,36842,720.36
1971520.767,36947,765,,1963433.824,36947,703.8
1971357.679,37053,748,,1963257.716,37053,688.16
1971190.662,37158,730,,1963077.364,37158,671.6
1971021.68,37263,712,,1962894.891,37263,655.04
1970848.768,37368,694,,1962708.174,37368,638.48
1970672.909,37474,676,,1962518.275,37474,621.92
1970493.12,37579,658,,1962324.132,37579,605.36
1970308.419,37684,639,,1962124.684,37684,587.88
1970119.788,37789,620,,1961920.994,37789,570.4
1969927.228,37895,601,,1961713.059,37895,552.92
1969728.773,38000,582,,1961498.76,38000,535.44
1790923.331,38000,875,,1768417.757,38000,805
1790788.782,38105,857,,1768272.466,38105,788.44
1790652.269,38211,839,,1768125.054,38211,771.88
1790513.792,38316,822,,1767975.521,38316,756.24
1790372.368,38421,803,,1767822.806,38421,738.76
1790228.981,38526,785,,1767667.971,38526,722.2
1790083.629,38632,767,,1767511.014,38632,705.64
1789934.348,38737,748,,1767349.815,38737,688.16
1789783.104,38842,729,,1767186.496,38842,670.68
1789628.913,38947,711,,1767019.995,38947,654.12
1789471.776,39053,694,,1766850.312,39053,638.48
1789311.693,39158,679,,1766677.448,39158,624.68
1789148.663,39263,664,,1766501.402,39263,610.88
1788982.687,39368,649,,1766322.175,39368,597.08
1788812.783,39474,633,,1766138.706,39474,582.36
1788639.932,39579,618,,1765952.055,39579,568.56
1788464.136,39684,602,,1765762.223,39684,553.84
1788283.429,39789,586,,1765567.089,39789,539.12
1788098.793,39895,570,,1765367.712,39895,524.4
1787910.229,40000,553,,1765164.094,40000,508.76
1566046.01,40000,947,,1525586.568,40000,871.24
1565877.162,40158,926,,1525404.239,40158,851.92
1565705.368,40316,904,,1525218.73,40316,831.68
1565530.629,40474,883,,1525030.04,40474,812.36
1565352.945,40632,860,,1524838.17,40632,791.2
1565171.335,40789,838,,1524642.06,40789,770.96
1564986.78,40947,815,,1524442.77,40947,749.8
1564798.298,41105,792,,1524239.24,41105,728.64
1564604.908,41263,768,,1524030.41,41263,706.56
1564407.591,41421,745,,1523817.34,41421,685.4
1564204.384,41579,720,,1523597.909,41579,662.4
1563996.269,41737,696,,1523373.178,41737,640.32
1563782.263,41895,671,,1523142.087,41895,617.32
1563562.368,42053,645,,1522904.636,42053,593.4
1563334.62,42211,619,,1522658.705,42211,569.48
1563099.018,42368,593,,1522404.293,42368,545.56
1562854.582,42526,566,,1522140.341,42526,520.72
1562600.328,42684,539,,1521865.788,42684,495.88
1562334.295,42842,511,,1521578.515,42842,470.12
1562056.482,43000,483,,1521278.522,43000,444.36
1926554.974,35,2804,,1926554.974,35,2579.68
1926380.353,198,2796,,1926366.624,198,2572.32
1926205.733,361,2788,,1926178.274,361,2564.96
1926032.112,523,2779,,1925991.003,523,2556.68
1925857.493,686,2771,,1925802.655,686,2549.32
1925683.855,849,2763,,1925615.366,849,2541.96
1925510.218,1012,2755,,1925428.078,1012,2534.6
1925335.619,1174,2747,,1925239.75,1174,2527.24
1925161.982,1337,2738,,1925052.463,1337,2518.96
1924988.347,1500,2730,,1924865.177,1500,2511.6
1923618.377,1500,3698,,1923385.61,1500,3402.16
1923274.769,1947,3669,,1923015.172,1947,3375.48
1922932.125,2395,3640,,1922645.778,2395,3348.8
1922589.503,2842,3611,,1922276.405,2842,3322.12
1922246.884,3289,3582,,1921907.036,3289,3295.44
1921904.25,3737,3552,,1921537.651,3737,3267.84
1921562.617,4184,3522,,1921169.347,4184,3240.24
1921219.988,4632,3492,,1920799.968,4632,3212.64
1920878.361,5079,3461,,1920431.671,5079,3184.12
1920535.757,5526,3428,,1920062.317,5526,3153.76
1920194.117,5974,3396,,1919694.007,5974,3124.32
1919851.519,6421,3362,,1919324.659,6421,3093.04
1919508.923,6868,3328,,1918955.315,6868,3061.76
1919166.312,7316,3294,,1918585.955,7316,3030.48
1918823.722,7763,3260,,1918216.617,7763,2999.2
1918480.136,8211,3225,,1917846.205,8211,2967
1918135.59,8658,3190,,1917474.755,8658,2934.8
1917791.048,9105,3154,,1917103.309,9105,2901.68
1917446.49,9553,3118,,1916731.847,9553,2868.56
1917100.973,10000,3082,,1916359.347,10000,2835.44
1916141.974,10000,3115,,1915323.629,10000,2865.8
1915160.236,11241,3001,,1914265.181,11241,2760.92
1914167.734,12482,2885,,1913195.109,12482,2654.2
1913162.509,13723,2767,,1912111.295,13723,2545.64
1912143.58,14964,2647,,1911012.682,14964,2435.24
1911108.987,16205,2528,,1909897.151,16205,2325.76
1910057.75,17446,2419,,1908763.645,17446,2225.48
1908986.928,18687,2309,,1907608.987,18687,2124.28
1907896.54,19927,2198,,1906433.196,19927,2022.16
1906781.648,21168,2093,,1905230.942,21168,1925.56
1905643.251,22409,1987,,1904003.303,22409,1828.04
1904475.468,23650,1882,,1902743.927,23650,1731.44
1903276.339,24891,1779,,1901450.697,24891,1636.68
1902039.982,26132,1669,,1900117.261,26132,1535.48
1900761.496,27373,1559,,1898738.326,27373,1434.28
1899435.002,28614,1451,,1897307.541,28614,1334.92
1898051.676,29855,1344,,1895815.379,29855,1236.48
1896598.777,31096,1222,,1894248.077,31096,1124.24
1895058.66,32337,1107,,1892586.58,32337,1018.44
1893412.702,33578,999,,1890810.774,33578,919.08
1893412.702,33578,1463,,1890810.774,33578,1345.96
1893191.842,33810,1439,,1890572.588,33810,1323.88
1892969.985,34043,1414,,1890333.326,34043,1300.88
1892746.169,34276,1389,,1890091.948,34276,1277.88
1892519.413,34509,1364,,1889847.394,34509,1254.88
1892291.695,34741,1339,,1889601.801,34741,1231.88
1892061.019,34974,1313,,1889353.015,34974,1207.96
1891827.403,35207,1279,,1889101.053,35207,1176.68
1891589.867,35440,1243,,1888844.857,35440,1143.56
1891349.409,35672,1207,,1888585.505,35672,1110.44
1891104.032,35905,1171,,1888320.842,35905,1077.32
1890841.991,36138,1028,,1888038.181,36138,945.76
1890561.325,36371,995,,1887735.405,36371,915.4
1890273.816,36603,961,,1887425.237,36603,884.12
1889980.409,36836,926,,1887108.7,36836,851.92
1889678.179,37069,891,,1886782.636,37069,819.72
1889369.089,37302,855,,1886449.162,37302,786.6
1889049.235,37534,819,,1886104.061,37534,753.48
1888719.561,37767,781,,1885748.357,37767,718.52
1888378.125,38000,743,,1885379.949,38000,683.56
1783273.366,38000,887,,1771866.809,38000,816.04
1783138.253,38105,869,,1771721.042,38105,799.48
1783002.142,38211,852,,1771574.199,38211,783.84
1782864.089,38316,834,,1771425.256,38316,767.28
1782723.095,38421,816,,1771273.137,38421,750.72
1782581.121,38526,798,,1771119.96,38526,734.16
1782436.189,38632,779,,1770963.59,38632,716.68
1782288.333,38737,761,,1770804.061,38737,700.12
1782137.537,38842,742,,1770641.356,38842,682.64
1781984.781,38947,723,,1770476.534,38947,665.16
1781829.067,39053,706,,1770308.519,39053,649.52
1781670.43,39158,692,,1770137.345,39158,636.64
1781508.852,39263,677,,1769962.996,39263,622.84
1781344.333,39368,662,,1769785.47,39368,609.04
1781176.857,39474,646,,1769604.752,39474,594.32
1781006.457,39579,631,,1769420.876,39579,580.52
1780832.137,39684,615,,1769232.764,39684,565.8
1780653.895,39789,599,,1769040.418,39789,551.08
1780471.716,39895,583,,1768843.821,39895,536.36
1780286.614,40000,567,,1768644.065,40000,521.64
1565922.728,40000,948,,1537131.068,40000,872.16
1565751.751,40158,926,,1536946.646,40158,851.92
1565577.834,40316,905,,1536759.049,40316,832.6
1565400.977,40474,883,,1536568.276,40474,812.36
1565221.18,40632,861,,1536374.328,40632,792.12
1565038.457,40789,838,,1536177.218,40789,770.96
1564851.798,40947,816,,1535975.86,40947,750.72
1564660.239,41105,792,,1535769.209,41105,728.64
1564465.74,41263,769,,1535559.383,41263,707.48
1564266.339,41421,745,,1535344.263,41421,685.4
1564061.058,41579,721,,1535122.792,41579,663.32
1563851.856,41737,696,,1534897.087,41737,640.32
1563635.793,41895,671,,1534663.972,41895,617.32
1563413.849,42053,646,,1534424.505,42053,594.32
1563184.064,42211,620,,1534176.57,42211,570.4
1562946.452,42368,594,,1533920.18,42368,546.48
1562700.003,42526,567,,1533654.249,42526,521.64
1562443.753,42684,540,,1533377.731,42684,496.8
1562176.72,42842,512,,1533089.568,42842,471.04
1561896.945,43000,484,,1532787.644,43000,445.28
1277099.989,35,4195,,1277099.989,35,3859.4
1276984.24,198,4186,,1276975.139,198,3851.12
1276868.491,361,4177,,1276850.29,361,3842.84
1276753.736,523,4169,,1276726.513,523,3835.48
1276637.989,686,4160,,1276601.665,686,3827.2
1276523.222,849,4151,,1276477.876,849,3818.92
1276408.456,1012,4142,,1276354.088,1012,3810.64
1276293.702,1174,4133,,1276230.312,1174,3802.36
1276178.936,1337,4124,,1276106.525,1337,3794.08
1276065.152,1500,4115,,1275983.797,1500,3785.8
1275027.623,1500,5955,,1274863.266,1500,5478.6
1274814.273,1947,5914,,1274633.285,1947,5440.88
1274600.912,2395,5872,,1274403.293,2395,5402.24
1274388.546,2842,5831,,1274174.374,2842,5364.52
1274176.181,3289,5789,,1273945.458,3289,5325.88
1273963.807,3737,5746,,1273716.531,3737,5286.32
1273752.427,4184,5703,,1273488.678,4184,5246.76
1273541.036,4632,5660,,1273260.814,4632,5207.2
1273329.66,5079,5616,,1273032.964,5079,5166.72
1273118.285,5526,5569,,1272805.116,5526,5123.48
1272907.88,5974,5521,,1272578.317,5974,5079.32
1272696.509,6421,5474,,1272350.474,6421,5036.08
1272486.121,6868,5425,,1272123.691,6868,4991
1272275.722,7316,5376,,1271896.898,7316,4945.92
1272065.336,7763,5327,,1271670.119,7763,4900.84
1271854.941,8211,5276,,1271443.329,8211,4853.92
1271644.559,8658,5226,,1271216.554,8658,4807.92
1271433.199,9105,5175,,1270988.722,9105,4761
1271222.809,9553,5123,,1270761.938,9553,4713.16
1271012.433,10000,5070,,1270535.169,10000,4664.4
1270527.05,10000,5032,,1270010.956,10000,4629.44
1269874.39,11339,4857,,1269307.392,11339,4468.44
1269217.825,12678,4678,,1268599.61,12678,4303.76
1268556.374,14017,4496,,1267886.552,14017,4136.32
1267887.096,15356,4310,,1267165.04,15356,3965.2
1267210.983,16694,4125,,1266436.146,16694,3795
1266526.05,18033,3943,,1265697.728,18033,3627.56
1265831.331,19372,3772,,1264948.739,19372,3470.24
1265126.824,20711,3605,,1264189.181,20711,3316.6
1264411.551,22050,3441,,1263417.993,22050,3165.72
1263682.569,23389,3278,,1262632.002,23389,3015.76
1262940.86,24728,3115,,1261832.265,24728,2865.8
1262182.503,26067,2941,,1261014.548,26067,2705.72
1261405.55,27405,2768,,1260176.746,27405,2546.56
1260608.016,28744,2599,,1259316.717,28744,2391.08
1259786.973,30083,2429,,1258431.3,30083,2234.68
1258936.54,31422,2232,,1257514.14,31422,2053.44
1258050.836,32761,2050,,1256558.888,32761,1886
1257127.901,34100,1895,,1255563.427,34100,1743.4
1256158.914,35439,1739,,1254518.23,35439,1599.88
1256158.914,35439,2569,,1254518.23,35439,2363.48
1255956.105,35837,2492,,1254299.584,35837,2292.64
1255741.533,36235,2183,,1254068.236,36235,2008.36
1255513.239,36633,2114,,1253822.067,36633,1944.88
1255282.005,37031,2044,,1253572.723,37031,1880.48
1255048.812,37429,1973,,1253321.264,37429,1815.16
1254810.732,37826,1902,,1253064.525,37826,1749.84
1254569.7,38224,1829,,1252804.6,38224,1682.68
1254324.749,38622,1755,,1252540.442,38622,1614.6
1254074.899,39020,1682,,1252270.992,39020,1547.44
1253820.149,39418,1630,,1251996.251,39418,1499.6
1253562.46,39816,1577,,1251718.335,39816,1450.84
1253299.871,40214,1523,,1251435.128,40214,1401.16
1253033.363,40612,1468,,1251147.689,40612,1350.56
1252760.976,41010,1412,,1250853.899,41010,1299.04
1252481.729,41408,1356,,1250552.701,41408,1247.52
1252197.582,41806,1298,,1250246.212,41806,1194.16
1251904.615,42204,1239,,1249930.197,42204,1139.88
1251604.789,42602,1179,,1249606.773,42602,1084.68
1251294.182,43000,1117,,1249271.706,43000,1027.64
1530278.187,35,3553,,1530278.187,35,3268.76
1530141.449,198,3544,,1530130.701,198,3260.48
1530003.731,361,3536,,1529982.157,361,3253.12
1529867.009,523,3528,,1529834.687,523,3245.76
1529730.273,686,3519,,1529687.203,686,3237.48
1529594.518,849,3511,,1529540.778,849,3230.12
1529457.783,1012,3502,,1529393.295,1012,3221.84
1529322.043,1174,3494,,1529246.886,1174,3214.48
1529185.308,1337,3485,,1529099.403,1337,3206.2
1529049.555,1500,3476,,1528952.98,1500,3197.92
1527873.754,1500,4871,,1527683.116,1500,4481.32
1527613.232,1947,4836,,1527402.275,1947,4449.12
1527352.698,2395,4801,,1527121.423,2395,4416.92
1527092.18,2842,4765,,1526840.587,2842,4383.8
1526832.645,3289,4730,,1526560.813,3289,4351.6
1526573.097,3737,4694,,1526281.027,3737,4318.48
1526313.567,4184,4657,,1526001.257,4184,4284.44
1526055.005,4632,4620,,1525722.535,4632,4250.4
1525796.459,5079,4583,,1525443.829,5079,4216.36
1525537.916,5526,4543,,1525165.126,5526,4179.56
1525279.36,5974,4503,,1524886.41,5974,4142.76
1525020.821,6421,4463,,1524607.712,6421,4105.96
1524763.265,6868,4422,,1524330.075,6868,4068.24
1524504.716,7316,4380,,1524051.367,7316,4029.6
1524246.184,7763,4338,,1523772.675,7763,3990.96
1523987.639,8211,4296,,1523493.972,8211,3952.32
1523729.111,8658,4253,,1523215.285,8658,3912.76
1523470.585,9105,4210,,1522936.601,9105,3873.2
1523212.047,9553,4166,,1522657.904,9553,3832.72
1522953.526,10000,4121,,1522379.225,10000,3791.32
1522322.038,10000,4106,,1521697.218,10000,3777.52
1521534.083,11318,3959,,1520847.77,11318,3642.28
1520740.264,12636,3810,,1519991.99,12636,3505.2
1519937.655,13953,3658,,1519126.714,13953,3365.36
1519126.227,15271,3503,,1518251.916,15271,3222.76
1518304.034,16589,3348,,1517365.49,16589,3080.16
1517471.075,17907,3199,,1516467.439,17907,2943.08
1516624.426,19224,3057,,1515554.599,19224,2812.44
1515764.056,20542,2917,,1514626.944,20542,2683.64
1514889.001,21860,2780,,1513683.428,21860,2557.6
1513996.32,23178,2644,,1512720.876,23178,2432.48
1513084.068,24495,2508,,1511737.185,24495,2307.36
1512150.254,25813,2365,,1510730.21,25813,2175.8
1511190.973,27131,2222,,1509695.729,27131,2044.24
1510203.285,28449,2080,,1508630.569,28449,1913.6
1509182.302,29766,1940,,1507529.45,29766,1784.8
1508122.116,31084,1781,,1506385.993,31084,1638.52
1507012.939,32402,1627,,1505189.624,32402,1496.84
1505847.909,33720,1494,,1503932.935,33720,1374.48
1504619.201,35037,1371,,1502607.473,35037,1261.32
1504619.201,35037,2024,,1502607.473,35037,1862.08
1504342.599,35456,1952,,1502309.232,35456,1795.84
1504063.057,35875,1880,,1502007.818,35875,1729.6
1503762.916,36295,1635,,1501684.158,36295,1504.2
1503443.186,36714,1569,,1501339.339,36714,1443.48
1503116.596,37133,1503,,1500987.113,37133,1382.76
1502783.146,37552,1436,,1500627.478,37552,1321.12
1502441.857,37971,1367,,1500259.376,37971,1257.64
1502090.767,38390,1298,,1499880.689,38390,1194.16
1501728.897,38809,1227,,1499490.36,38809,1128.84
1501356.246,39228,1166,,1499088.388,39228,1072.72
1500972.816,39647,1113,,1498674.773,39647,1023.96
1500576.644,40066,1059,,1498247.399,40066,974.28
1500167.732,40485,1003,,1497806.264,40485,922.76
1499743.124,40905,946,,1497348.179,40905,870.32
1499299.909,41324,886,,1496869.998,41324,815.12
1498835.131,41743,824,,1496368.528,41743,758.08
1498342.91,42162,760,,1495837.42,42162,699.2
1497818.344,42581,694,,1495271.378,42581,638.48
1497251.63,43000,625,,1494659.819,43000,575