ADJUSTED G VALUE,,,,,787-8 RAW DATA FROM PIANO X,,,,787-9 NO PREADJUSTED FUEL BURNT & ROC,,,,,787-9 PREADJUSTED FUEL BURNT & ROC (x1.08 & x0.92),,,
Stan. G (m/s^2),9.80665,,,,,,,,,,,,,,,,
Earth radius (m) ,63710088,,,,,,,,,,,,,,,,
Altitude (feet) ,Altitude (m)*,Adjusted G*,RANGE,MASS INIT (KG) ,Fuel Burnt (kg) ,Altitude (feet) ,ROC (feet/min) ,,Fuel Burnt (kg) ,Weight (N)*,Altitude (feet) ,ROC (feet/min),,Fuel Burnt (kg)* ,Weight (N)*,Altitude (feet) ,ROC (feet/min)*
35,10.66799966,9.806646716,7400 NM,227818,0,35,2357,,0,2234130.642,35,2357,,0,2234130.642,35,2168.44
198,60.35039807,9.806631421,,,20.8,198,2349,,20.8,2233923.179,198,2349,,22.464,2233906.861,198,2161.08
361,110.0327965,9.806616126,,,41.7,361,2341,,41.7,2233714.737,361,2341,,45.036,2233682.022,361,2153.72
523,159.4103949,9.806600925,,,62.5,523,2333,,62.5,2233507.297,523,2333,,67.5,2233458.264,523,2146.36
686,209.0927933,9.806585631,,,83.3,686,2325,,83.3,2233299.837,686,2325,,89.964,2233234.486,686,2139
849,258.7751917,9.806570336,,,104.2,849,2317,,104.2,2233091.396,849,2317,,112.536,2233009.649,849,2131.64
1012,308.4575901,9.806555041,,,125,1012,2309,,125,2232883.937,1012,2309,,135,2232785.871,1012,2124.28
1174,357.8351885,9.806539841,,,145.8,1174,2301,,145.8,2232676.5,1174,2301,,157.464,2232562.116,1174,2116.92
1337,407.517587,9.806524546,,,166.7,1337,2293,,166.7,2232468.061,1337,2293,,180.036,2232337.282,1337,2109.56
1500,457.1999854,9.806509251,,,187.5,1500,2285,,187.5,2232260.604,1500,2285,,202.5,2232113.507,1500,2102.2
1500,457.1999854,9.806509251,,,340.8,1500,2993,,340.8,2230757.266,1500,2993,,368.064,2230489.902,1500,2753.56
1947,593.445581,9.806467309,,,383.1,1947,2967,,383.1,2230332.912,1947,2967,,413.748,2230032.363,1947,2729.64
2395,729.9959766,9.806425273,,,425.3,2395,2941,,425.3,2229909.52,2395,2941,,459.324,2229575.866,2395,2705.72
2842,866.2415723,9.806383331,,,467.5,2842,2914,,467.5,2229486.153,2842,2914,,504.9,2229119.395,2842,2680.88
3289,1002.487168,9.806341389,,,509.8,3289,2888,,509.8,2229061.81,3289,2888,,550.584,2228661.868,3289,2656.96
3737,1139.037564,9.806299354,,,552.1,3737,2861,,552.1,2228637.448,3737,2861,,596.268,2228204.324,3737,2632.12
4184,1275.283159,9.806257413,,,594.4,4184,2834,,594.4,2228213.112,4184,2834,,641.952,2227746.805,4184,2607.28
4632,1411.833555,9.806215378,,,636.7,4632,2807,,636.7,2227788.758,4632,2807,,687.636,2227289.268,4632,2582.44
5079,1548.07915,9.806173438,,,679.1,5079,2779,,679.1,2227363.448,5079,2779,,733.428,2226830.698,5079,2556.68
5526,1684.324746,9.806131497,,,721.5,5526,2750,,721.5,2226938.142,5526,2750,,779.22,2226372.132,5526,2530
5974,1820.875142,9.806089463,,,764,5974,2720,,764,2226511.837,5974,2720,,825.12,2225912.489,5974,2502.4
6421,1957.120737,9.806047524,,,806.5,6421,2690,,806.5,2226085.557,6421,2690,,871.02,2225452.871,6421,2474.8
6868,2093.366333,9.806005584,,,849.2,6868,2659,,849.2,2225657.32,6868,2659,,917.136,2224991.139,6868,2446.28
7316,2229.916729,9.805963551,,,891.9,7316,2629,,891.9,2225229.065,7316,2629,,963.252,2224529.39,7316,2418.68
7763,2366.162324,9.805921612,,,934.7,7763,2598,,934.7,2224799.855,7763,2598,,1009.476,2224066.607,7763,2390.16
8211,2502.71272,9.805879579,,,977.7,8211,2566,,977.7,2224368.666,8211,2566,,1055.916,2223601.689,8211,2360.72
8658,2638.958316,9.805837641,,,1020.7,8658,2534,,1020.7,2223937.501,8658,2534,,1102.356,2223136.796,8658,2331.28
9105,2775.203911,9.805795703,,,1063.9,9105,2502,,1063.9,2223504.379,9105,2502,,1149.012,2222669.788,9105,2301.84
9553,2911.754307,9.805753671,,,1107.2,9553,2470,,1107.2,2223070.259,9553,2470,,1195.776,2222201.705,9553,2272.4
10000,3047.999902,9.805711733,,,1150.7,10000,2437,,1150.7,2222634.203,10000,2437,,1242.756,2221731.529,10000,2242.04
10000,3047.999902,9.805711733,,,1283.9,10000,2569,,1283.9,2221328.082,10000,2569,,1386.612,2220320.918,10000,2363.48
11180,3407.663891,9.805601027,,,1397.2,11180,2473,,1397.2,2220192.029,11180,2473,,1508.976,2219095.998,11180,2275.16
12360,3767.327879,9.805490322,,,1512,12360,2375,,1512,2219041.293,12360,2375,,1632.96,2217855.221,12360,2185
13540,4126.991868,9.805379619,,,1628.5,13540,2275,,1628.5,2217873.913,13540,2275,,1758.78,2216596.469,13540,2093
14720,4486.655856,9.805268918,,,1747,14720,2174,,1747,2216686.95,14720,2174,,1886.76,2215316.565,14720,2000.08
15900,4846.319845,9.805158219,,,1867.6,15900,2077,,1867.6,2215479.422,15900,2077,,2017.008,2214014.453,15900,1910.84
17080,5205.983833,9.805047522,,,1990.5,17080,1986,,1990.5,2214249.369,17080,1986,,2149.74,2212688.014,17080,1827.12
18259,5565.343022,9.804936921,,,2115.9,18259,1893,,2115.9,2212994.853,18259,1893,,2285.172,2211335.152,18259,1741.56
19439,5925.00701,9.804826227,,,2244.2,19439,1800,,2244.2,2211711.91,19439,1800,,2423.736,2209951.591,19439,1656
20619,6284.670999,9.804715536,,,2375.7,20619,1709,,2375.7,2210397.621,20619,1709,,2565.756,2208534.176,20619,1572.28
21799,6644.334987,9.804604846,,,2510.6,21799,1620,,2510.6,2209050.026,21799,1620,,2711.448,2207080.791,21799,1490.4
22979,7003.998976,9.804494158,,,2649.4,22979,1531,,2649.4,2207664.223,22979,1531,,2861.352,2205586.141,22979,1408.52
24159,7363.662964,9.804383472,,,2792.6,24159,1444,,2792.6,2206235.313,24159,1444,,3016.008,2204044.935,24159,1328.48
25339,7723.326953,9.804272788,,,2940.8,25339,1357,,2940.8,2204757.413,25339,1357,,3176.064,2202450.82,25339,1248.44
26519,8082.990941,9.804162106,,,3094.6,26519,1264,,3094.6,2203224.643,26519,1264,,3342.168,2200797.446,26519,1162.88
27699,8442.65493,9.804051425,,,3255.3,27699,1172,,3255.3,2201624.259,27699,1172,,3515.724,2199071.049,27699,1078.24
28879,8802.318918,9.803940747,,,3423.8,28879,1081,,3423.8,2199947.441,28879,1081,,3697.704,2197262.102,28879,994.52
30059,9161.982907,9.80383007,,,3601.6,30059,991,,3601.6,2198179.485,30059,991,,3889.728,2195354.727,30059,911.72
31239,9521.646895,9.803719396,,,3791.6,31239,887,,3791.6,2196291.963,31239,887,,4094.928,2193318.22,31239,816.04
32418,9881.006084,9.803608817,,,3997.5,32418,787,,3997.5,2194248.627,32418,787,,4317.3,2191113.433,32418,724.04
32418,9881.006084,9.803608817,,,3997.5,32418,1146,,3997.5,2194248.627,32418,1146,,4317.3,2191113.433,32418,1054.32
32607,9938.613282,9.80359109,,,4021.2,32607,1126,,4021.2,2194012.315,32607,1126,,4342.896,2190858.538,32607,1035.92
32795,9995.91568,9.803573458,,,4045.1,32795,1106,,4045.1,2193774.063,32795,1106,,4368.708,2190601.548,32795,1017.52
32984,10053.52288,9.803555732,,,4069.4,32984,1086,,4069.4,2193531.87,32984,1086,,4394.952,2190340.303,32984,999.12
33172,10110.82528,9.8035381,,,4093.9,33172,1065,,4093.9,2193287.738,33172,1065,,4421.412,2190076.962,33172,979.8
33361,10168.43247,9.803520373,,,4118.7,33361,1044,,4118.7,2193040.645,33361,1044,,4448.196,2189810.424,33361,960.48
33549,10225.73487,9.803502741,,,4143.8,33549,1023,,4143.8,2192790.633,33549,1023,,4475.304,2189540.732,33549,941.16
33738,10283.34207,9.803485015,,,4169.3,33738,1001,,4169.3,2192536.679,33738,1001,,4502.844,2189266.786,33738,920.92
33926,10340.64447,9.803467383,,,4195.2,33926,979,,4195.2,2192278.826,33926,979,,4530.816,2188988.625,33926,900.68
34115,10398.25167,9.803449657,,,4221.4,34115,956,,4221.4,2192018.012,34115,956,,4559.112,2188707.269,34115,879.52
34303,10455.55407,9.803432025,,,4248.2,34303,933,,4248.2,2191751.337,34303,933,,4588.056,2188419.582,34303,858.36
34492,10513.16126,9.8034143,,,4275.4,34492,909,,4275.4,2191480.721,34492,909,,4617.432,2188127.64,34492,836.28
34680,10570.46366,9.803396668,,,4303.1,34680,885,,4303.1,2191205.226,34680,885,,4647.348,2187830.426,34680,814.2
34869,10628.07086,9.803378942,,,4331.4,34869,860,,4331.4,2190923.828,34869,860,,4677.912,2187526.84,34869,791.2
35057,10685.37326,9.80336131,,,4360.3,35057,834,,4360.3,2190636.571,35057,834,,4709.124,2187216.923,35057,767.28
35246,10742.98046,9.803343585,,,4389.9,35246,803,,4389.9,2190342.431,35246,803,,4741.092,2186899.575,35246,738.76
35434,10800.28285,9.803325953,,,4420.5,35434,771,,4420.5,2190038.51,35434,771,,4774.14,2186571.661,35434,709.32
35623,10857.89005,9.803308227,,,4452,35623,738,,4452,2189725.746,35623,738,,4808.16,2186234.199,35623,678.96
35811,10915.19245,9.803290596,,,4484.7,35811,704,,4484.7,2189401.24,35811,704,,4843.476,2185884.054,35811,647.68
36000,10972.79965,9.80327287,,,4518.7,36000,669,,4518.7,2189063.97,36000,669,,4880.196,2185520.126,36000,615.48
36000,10972.79965,9.80327287,,,26628.4,36000,1013,,26628.4,1972316.547,36000,1013,,28758.672,1951432.91,36000,931.96
36105,11004.80365,9.803263023,,,26642.3,36105,899,,26642.3,1972178.301,36105,899,,28773.684,1951283.783,36105,827.08
36211,11037.11245,9.803253082,,,26657,36211,883,,26657,1972032.193,36211,883,,28789.56,1951126.168,36211,812.36
36316,11069.11645,9.803243234,,,26672,36316,867,,26672,1971883.164,36316,867,,28805.76,1950965.395,36316,797.64
36421,11101.12044,9.803233387,,,26687.1,36421,850,,26687.1,1971733.154,36421,850,,28822.068,1950803.564,36421,782
36526,11133.12444,9.80322354,,,26702.4,36526,834,,26702.4,1971581.184,36526,834,,28838.592,1950639.616,36526,767.28
36632,11165.43324,9.803213599,,,26718,36632,817,,26718,1971426.255,36632,817,,28855.44,1950472.474,36632,751.64
36737,11197.43724,9.803203751,,,26733.8,36737,800,,26733.8,1971269.384,36737,800,,28872.504,1950303.233,36737,736
36842,11229.44124,9.803193904,,,26749.9,36842,783,,26749.9,1971109.572,36842,783,,28889.892,1950130.816,36842,720.36
36947,11261.44524,9.803184057,,,26766.2,36947,765,,26766.2,1970947.8,36947,765,,28907.496,1949956.282,36947,703.8
37053,11293.75404,9.803174116,,,26782.8,37053,748,,26782.8,1970783.069,37053,748,,28925.424,1949778.553,37053,688.16
37158,11325.75804,9.803164268,,,26799.7,37158,730,,26799.7,1970615.416,37158,730,,28943.676,1949597.667,37158,671.6
37263,11357.76204,9.803154421,,,26817,37263,713,,26817,1970443.842,37263,713,,28962.36,1949412.546,37263,655.96
37368,11389.76604,9.803144574,,,26834.5,37368,695,,26834.5,1970270.307,37368,695,,28981.26,1949225.309,37368,639.4
37474,11422.07483,9.803134633,,,26852.5,37474,676,,26852.5,1970091.853,37474,676,,29000.7,1949032.759,37474,621.92
37579,11454.07883,9.803124786,,,26870.8,37579,658,,26870.8,1969910.477,37579,658,,29020.464,1948837.052,37579,605.36
37684,11486.08283,9.803114938,,,26889.5,37684,639,,26889.5,1969725.18,37684,639,,29040.66,1948637.111,37684,587.88
37789,11518.08683,9.803105091,,,26908.7,37789,621,,26908.7,1969534.982,37789,621,,29061.396,1948431.877,37789,571.32
37895,11550.39563,9.80309515,,,26928.4,37895,602,,26928.4,1969339.864,37895,602,,29082.672,1948221.33,37895,553.84
38000,11582.39963,9.803085303,,,26948.6,38000,582,,26948.6,1969139.863,38000,582,,29104.488,1948005.509,38000,535.44
38000,11582.39963,9.803085303,,,45149.9,38000,875,,45149.9,1790710.966,38000,875,,48761.892,1755302.301,38000,805
38105,11614.40363,9.803075456,,,45163.7,38105,857,,45163.7,1790573.885,38105,857,,48776.796,1755154.433,38105,788.44
38211,11646.71243,9.803065515,,,45177.6,38211,840,,45177.6,1790435.807,38211,840,,48791.808,1755005.489,38211,772.8
38316,11678.71643,9.803055668,,,45191.7,38316,822,,45191.7,1790295.785,38316,822,,48807.036,1754854.445,38316,756.24
38421,11710.72043,9.803045821,,,45206,38421,804,,45206,1790153.803,38421,804,,48822.48,1754701.284,38421,739.68
38526,11742.72442,9.803035974,,,45220.6,38526,785,,45220.6,1790008.881,38526,785,,48838.248,1754544.947,38526,722.2
38632,11775.03322,9.803026033,,,45235.5,38632,767,,45235.5,1789861.001,38632,767,,48854.34,1754385.418,38632,705.64
38737,11807.03722,9.803016186,,,45250.6,38737,748,,45250.6,1789711.177,38737,748,,48870.648,1754223.788,38737,688.16
38842,11839.04122,9.803006339,,,45266,38842,730,,45266,1789558.413,38842,730,,48887.28,1754058.982,38842,671.6
38947,11871.04522,9.802996492,,,45281.7,38947,711,,45281.7,1789402.709,38947,711,,48904.236,1753891.001,38947,654.12
39053,11903.35402,9.802986551,,,45297.7,39053,694,,45297.7,1789244.046,39053,694,,48921.516,1753719.827,39053,638.48
39158,11935.35802,9.802976704,,,45314,39158,679,,45314,1789082.46,39158,679,,48939.12,1753545.494,39158,624.68
39263,11967.36202,9.802966857,,,45330.6,39263,664,,45330.6,1788917.934,39263,664,,48957.048,1753367.985,39263,610.88
39368,11999.36602,9.80295701,,,45347.6,39368,649,,45347.6,1788749.487,39368,649,,48975.408,1753186.241,39368,597.08
39474,12031.67481,9.80294707,,,45364.8,39474,633,,45364.8,1788579.062,39474,633,,48993.984,1753002.364,39474,582.36
39579,12063.67881,9.802937223,,,45382.4,39579,618,,45382.4,1788404.734,39579,618,,49012.992,1752814.269,39579,568.56
39684,12095.68281,9.802927376,,,45400.3,39684,602,,45400.3,1788227.465,39684,602,,49032.324,1752622.998,39684,553.84
39789,12127.68681,9.802917529,,,45418.7,39789,586,,45418.7,1788045.295,39789,586,,49052.196,1752426.434,39789,539.12
39895,12159.99561,9.802907588,,,45437.5,39895,570,,45437.5,1787859.187,39895,570,,49072.5,1752225.618,39895,524.4
40000,12191.99961,9.802897741,,,45456.7,40000,553,,45456.7,1787669.176,40000,553,,49093.236,1752020.585,40000,508.76
40000,12191.99961,9.802897741,,,68050.2,40000,947,,68050.2,1566187.406,40000,947,,73494.216,1512820.274,40000,871.24
40158,12240.15801,9.802882924,,,68067.4,40158,926,,68067.4,1566016.429,40158,926,,73512.792,1512635.889,40158,851.92
40316,12288.31641,9.802868107,,,68084.9,40316,904,,68084.9,1565842.512,40316,904,,73531.692,1512448.328,40316,831.68
40474,12336.47481,9.80285329,,,68102.7,40474,883,,68102.7,1565665.654,40474,883,,73550.916,1512257.592,40474,812.36
40632,12384.6332,9.802838473,,,68120.8,40632,860,,68120.8,1565485.856,40632,860,,73570.464,1512063.68,40632,791.2
40789,12432.4868,9.80282375,,,68139.3,40789,838,,68139.3,1565302.153,40789,838,,73590.444,1511865.549,40789,770.96
40947,12480.6452,9.802808933,,,68158.1,40947,815,,68158.1,1565115.494,40947,815,,73610.748,1511664.227,40947,749.8
41105,12528.8036,9.802794116,,,68177.3,41105,792,,68177.3,1564924.915,41105,792,,73631.484,1511458.672,41105,728.64
41263,12576.962,9.802779299,,,68197,41263,768,,68197,1564729.434,41263,768,,73652.76,1511247.823,41263,706.56
41421,12625.1204,9.802764482,,,68217.1,41421,745,,68217.1,1564530.034,41421,745,,73674.468,1511032.741,41421,685.4
41579,12673.27879,9.802749665,,,68237.8,41579,720,,68237.8,1564324.752,41579,720,,73696.824,1510811.306,41579,662.4
41737,12721.43719,9.802734848,,,68258.9,41737,696,,68258.9,1564115.55,41737,696,,73719.612,1510585.638,41737,640.32
41895,12769.59559,9.802720032,,,68280.7,41895,671,,68280.7,1563899.487,41895,671,,73743.156,1510352.56,41895,617.32
42053,12817.75399,9.802705215,,,68303.2,42053,645,,68303.2,1563676.562,42053,645,,73767.456,1510112.071,42053,593.4
42211,12865.91239,9.802690398,,,68326.4,42211,619,,68326.4,1563446.776,42211,619,,73792.512,1509864.172,42211,569.48
42368,12913.76599,9.802675675,,,68350.4,42368,593,,68350.4,1563209.164,42368,593,,73818.432,1509607.819,42368,545.56
42526,12961.92439,9.802660859,,,68375.3,42526,566,,68375.3,1562962.714,42526,566,,73845.324,1509341.924,42526,520.72
42684,13010.08278,9.802646042,,,68401.2,42684,539,,68401.2,1562706.464,42684,539,,73873.296,1509065.443,42684,495.88
42842,13058.24118,9.802631225,,,68428.3,42842,512,,68428.3,1562438.45,42842,512,,73902.564,1508776.259,42842,471.04
43000,13106.39958,9.802616409,,,68456.6,43000,483,,68456.6,1562158.675,43000,483,,73933.128,1508474.371,43000,444.36
0,0,9.80665,7400 NM,211368,0,35,2580,,0,2072811.997,35,2580,,0,2072811.997,35,2373.6
19,5.791199815,9.806648217,,,19,198,2572,,19,2072625.294,198,2572,,20.52,2072610.388,198,2366.24
38,11.58239963,9.806646434,,,38,361,2564,,38,2072438.591,361,2564,,41.04,2072408.779,361,2358.88
57,17.37359944,9.806644651,,,57,523,2556,,57,2072251.888,523,2556,,61.56,2072207.17,523,2351.52
76,23.16479926,9.806642869,,,76,686,2548,,76,2072065.185,686,2548,,82.08,2072005.561,686,2344.16
95,28.95599907,9.806641086,,,95,849,2540,,95,2071878.482,849,2540,,102.6,2071803.952,849,2336.8
114,34.74719889,9.806639303,,,114,1012,2531,,114,2071691.779,1012,2531,,123.12,2071602.343,1012,2328.52
133,40.5383987,9.80663752,,,133,1174,2523,,133,2071505.077,1174,2523,,143.64,2071400.734,1174,2321.16
152,46.32959852,9.806635737,,,152,1337,2515,,152,2071318.374,1337,2515,,164.16,2071199.125,1337,2313.8
171,52.12079833,9.806633955,,,171,1500,2507,,171,2071131.671,1500,2507,,184.68,2070997.517,1500,2306.44
317.4,96.7435169,9.806620217,,,317.4,1500,3347,,317.4,2069693.081,1500,3347,,342.792,2069444.071,1500,3079.24
355.1,108.2344765,9.80661668,,,355.1,1947,3320,,355.1,2069322.625,1947,3320,,383.508,2069044.038,1947,3054.4
392.8,119.7254362,9.806613142,,,392.8,2395,3292,,392.8,2068952.169,2395,3292,,424.224,2068644.006,2395,3028.64
430.6,131.2468758,9.806609595,,,430.6,2842,3265,,430.6,2068580.731,2842,3265,,465.048,2068242.913,2842,3003.8
468.3,142.7378354,9.806606058,,,468.3,3289,3237,,468.3,2068210.276,3289,3237,,505.764,2067842.881,3289,2978.04
506,154.2287951,9.80660252,,,506,3737,3208,,506,2067839.821,3737,3208,,546.48,2067442.849,3737,2951.36
543.7,165.7197547,9.806598983,,,543.7,4184,3180,,543.7,2067469.366,4184,3180,,587.196,2067042.818,4184,2925.6
581.4,177.2107143,9.806595445,,,581.4,4632,3151,,581.4,2067098.912,4632,3151,,627.912,2066642.787,4632,2898.92
619.1,188.701674,9.806591908,,,619.1,5079,3122,,619.1,2066728.457,5079,3122,,668.628,2066242.756,5079,2872.24
656.9,200.2231136,9.806588361,,,656.9,5526,3091,,656.9,2066357.021,5526,3091,,709.452,2065841.665,5526,2843.72
694.7,211.7445532,9.806584814,,,694.7,5974,3059,,694.7,2065985.585,5974,3059,,750.276,2065440.574,5974,2814.28
732.5,223.2659929,9.806581267,,,732.5,6421,3028,,732.5,2065614.149,6421,3028,,791.1,2065039.483,6421,2785.76
770.4,234.8179125,9.806577711,,,770.4,6868,2996,,770.4,2065241.73,6868,2996,,832.032,2064637.331,6868,2756.32
808.3,246.3698321,9.806574155,,,808.3,7316,2963,,808.3,2064869.312,7316,2963,,872.964,2064235.18,7316,2725.96
846.3,257.9522317,9.806570589,,,846.3,7763,2931,,846.3,2064495.912,7763,2931,,914.004,2063831.968,7763,2696.52
884.3,269.5346314,9.806567024,,,884.3,8211,2897,,884.3,2064122.511,8211,2897,,955.044,2063428.756,8211,2665.24
922.4,281.147511,9.806563449,,,922.4,8658,2864,,922.4,2063748.129,8658,2864,,996.192,2063024.483,8658,2634.88
960.6,292.7908706,9.806559864,,,960.6,9105,2830,,960.6,2063372.764,9105,2830,,1037.448,2062619.149,9105,2603.6
998.9,304.4647103,9.80655627,,,998.9,9553,2796,,998.9,2062996.417,9553,2796,,1078.812,2062212.755,9553,2572.32
1037.3,316.1690299,9.806552667,,,1037.3,10000,2761,,1037.3,2062619.087,10000,2761,,1120.284,2061805.3,10000,2540.12
1150.4,350.6419088,9.806542055,,,1150.4,10000,2837,,1150.4,2061507.735,10000,2837,,1242.432,2060605.219,10000,2610.04
1255.6,382.7068678,9.806532184,,,1255.6,11213,2733,,1255.6,2060474.013,11213,2733,,1356.048,2059488.966,11213,2514.36
1362,415.1375867,9.8065222,,,1362,12425,2626,,1362,2059428.501,12425,2626,,1470.96,2058359.983,12425,2415.92
1469.8,447.9950257,9.806512085,,,1469.8,13638,2517,,1469.8,2058369.235,13638,2517,,1587.384,2057216.146,13638,2315.64
1579.4,481.4011046,9.806501801,,,1579.4,14850,2407,,1579.4,2057292.284,14850,2407,,1705.752,2056053.213,14850,2214.44
1690.8,515.3558235,9.806491348,,,1690.8,16063,2298,,1690.8,2056197.648,16063,2298,,1826.064,2054871.183,16063,2114.16
1804.2,549.9201424,9.806480708,,,1804.2,17275,2199,,1804.2,2055083.362,17275,2199,,1948.536,2053667.934,17275,2023.08
1919.7,585.1245413,9.806469871,,,1919.7,18488,2098,,1919.7,2053948.443,18488,2098,,2073.276,2052442.405,18488,1930.16
2037.7,621.0909401,9.806458798,,,2037.7,19701,1996,,2037.7,2052788.962,19701,1996,,2200.716,2051190.353,19701,1836.32
