ADJUSTED G VALUE,,,,,787-8 RAW DATA FROM PIANO X,,,,787-9 NO PREADJUSTED FUEL BURNT & ROC,,,,,787-9 PREADJUSTED FUEL BURNT & ROC (x1.08 & x0.92),,,
38842,11839.04122,9.803006339,,,14659,38842,742,,14659,1782137.537,38842,742,,15831.72,1770641.356,38842,682.64
38947,11871.04522,9.802996492,,,14674.4,38947,723,,14674.4,1781984.781,38947,723,,15848.352,1770476.534,38947,665.16
39053,11903.35402,9.802986551,,,14690.1,39053,706,,14690.1,1781829.067,39053,706,,15865.308,1770308.519,39053,649.52
39158,11935.35802,9.802976704,,,14706.1,39158,692,,14706.1,1781670.43,39158,692,,15882.588,1770137.345,39158,636.64
39263,11967.36202,9.802966857,,,14722.4,39263,677,,14722.4,1781508.852,39263,677,,15900.192,1769962.996,39263,622.84
39368,11999.36602,9.80295701,,,14739,39368,662,,14739,1781344.333,39368,662,,15918.12,1769785.47,39368,609.04
39474,12031.67481,9.80294707,,,14755.9,39474,646,,14755.9,1781176.857,39474,646,,15936.372,1769604.752,39474,594.32
39579,12063.67881,9.802937223,,,14773.1,39579,631,,14773.1,1781006.457,39579,631,,15954.948,1769420.876,39579,580.52
39684,12095.68281,9.802927376,,,14790.7,39684,615,,14790.7,1780832.137,39684,615,,15973.956,1769232.764,39684,565.8
39789,12127.68681,9.802917529,,,14808.7,39789,599,,14808.7,1780653.895,39789,599,,15993.396,1769040.418,39789,551.08
39895,12159.99561,9.802907588,,,14827.1,39895,583,,14827.1,1780471.716,39895,583,,16013.268,1768843.821,39895,536.36
40000,12191.99961,9.802897741,,,14845.8,40000,567,,14845.8,1780286.614,40000,567,,16033.464,1768644.065,40000,521.64
40000,12191.99961,9.802897741,,,36713.2,40000,948,,36713.2,1565922.728,40000,948,,39650.256,1537131.068,40000,872.16
40158,12240.15801,9.802882924,,,36730.4,40158,926,,36730.4,1565751.751,40158,926,,39668.832,1536946.646,40158,851.92
40316,12288.31641,9.802868107,,,36747.9,40316,905,,36747.9,1565577.834,40316,905,,39687.732,1536759.049,40316,832.6
40474,12336.47481,9.80285329,,,36765.7,40474,883,,36765.7,1565400.977,40474,883,,39706.956,1536568.276,40474,812.36
40632,12384.6332,9.802838473,,,36783.8,40632,861,,36783.8,1565221.18,40632,861,,39726.504,1536374.328,40632,792.12
40789,12432.4868,9.80282375,,,36802.2,40789,838,,36802.2,1565038.457,40789,838,,39746.376,1536177.218,40789,770.96
40947,12480.6452,9.802808933,,,36821,40947,816,,36821,1564851.798,40947,816,,39766.68,1535975.86,40947,750.72
41105,12528.8036,9.802794116,,,36840.3,41105,792,,36840.3,1564660.239,41105,792,,39787.524,1535769.209,41105,728.64
41263,12576.962,9.802779299,,,36859.9,41263,769,,36859.9,1564465.74,41263,769,,39808.692,1535559.383,41263,707.48
41421,12625.1204,9.802764482,,,36880,41421,745,,36880,1564266.339,41421,745,,39830.4,1535344.263,41421,685.4
41579,12673.27879,9.802749665,,,36900.7,41579,721,,36900.7,1564061.058,41579,721,,39852.756,1535122.792,41579,663.32
41737,12721.43719,9.802734848,,,36921.8,41737,696,,36921.8,1563851.856,41737,696,,39875.544,1534897.087,41737,640.32
41895,12769.59559,9.802720032,,,36943.6,41895,671,,36943.6,1563635.793,41895,671,,39899.088,1534663.972,41895,617.32
42053,12817.75399,9.802705215,,,36966,42053,646,,36966,1563413.849,42053,646,,39923.28,1534424.505,42053,594.32
42211,12865.91239,9.802690398,,,36989.2,42211,620,,36989.2,1563184.064,42211,620,,39948.336,1534176.57,42211,570.4
42368,12913.76599,9.802675675,,,37013.2,42368,594,,37013.2,1562946.452,42368,594,,39974.256,1533920.18,42368,546.48
42526,12961.92439,9.802660859,,,37038.1,42526,567,,37038.1,1562700.003,42526,567,,40001.148,1533654.249,42526,521.64
42684,13010.08278,9.802646042,,,37064,42684,540,,37064,1562443.753,42684,540,,40029.12,1533377.731,42684,496.8
42842,13058.24118,9.802631225,,,37091,42842,512,,37091,1562176.72,42842,512,,40058.28,1533089.568,42842,471.04
43000,13106.39958,9.802616409,,,37119.3,43000,484,,37119.3,1561896.945,43000,484,,40088.844,1532787.644,43000,445.28
,,,,,,,,,,,,,,,,,
Altitude (feet) ,Altitude (m)*,Adjusted G*,,,Fuel Burnt (kg) ,Altitude (feet) ,ROC (feet/min) ,,Fuel Burnt (kg) ,Weight (N)*,Altitude (feet) ,ROC (feet/min),,Fuel Burnt (kg)* ,Weight (N)*,Altitude (feet) ,ROC (feet/min)*
35,10.66799966,9.806646716,500 NM,130228,0,35,4195,,0,1277099.989,35,4195,,0,1277099.989,35,3859.4
198,60.35039807,9.806631421,,,11.6,198,4186,,11.6,1276984.24,198,4186,,12.528,1276975.139,198,3851.12
361,110.0327965,9.806616126,,,23.2,361,4177,,23.2,1276868.491,361,4177,,25.056,1276850.29,361,3842.84
523,159.4103949,9.806600925,,,34.7,523,4169,,34.7,1276753.736,523,4169,,37.476,1276726.513,523,3835.48
686,209.0927933,9.806585631,,,46.3,686,4160,,46.3,1276637.989,686,4160,,50.004,1276601.665,686,3827.2
849,258.7751917,9.806570336,,,57.8,849,4151,,57.8,1276523.222,849,4151,,62.424,1276477.876,849,3818.92
1012,308.4575901,9.806555041,,,69.3,1012,4142,,69.3,1276408.456,1012,4142,,74.844,1276354.088,1012,3810.64
1174,357.8351885,9.806539841,,,80.8,1174,4133,,80.8,1276293.702,1174,4133,,87.264,1276230.312,1174,3802.36
1337,407.517587,9.806524546,,,92.3,1337,4124,,92.3,1276178.936,1337,4124,,99.684,1276106.525,1337,3794.08
1500,457.1999854,9.806509251,,,103.7,1500,4115,,103.7,1276065.152,1500,4115,,111.996,1275983.797,1500,3785.8
1500,457.1999854,9.806509251,,,209.5,1500,5955,,209.5,1275027.623,1500,5955,,226.26,1274863.266,1500,5478.6
1947,593.445581,9.806467309,,,230.7,1947,5914,,230.7,1274814.273,1947,5914,,249.156,1274633.285,1947,5440.88
2395,729.9959766,9.806425273,,,251.9,2395,5872,,251.9,1274600.912,2395,5872,,272.052,1274403.293,2395,5402.24
2842,866.2415723,9.806383331,,,273,2842,5831,,273,1274388.546,2842,5831,,294.84,1274174.374,2842,5364.52
3289,1002.487168,9.806341389,,,294.1,3289,5789,,294.1,1274176.181,3289,5789,,317.628,1273945.458,3289,5325.88
3737,1139.037564,9.806299354,,,315.2,3737,5746,,315.2,1273963.807,3737,5746,,340.416,1273716.531,3737,5286.32
4184,1275.283159,9.806257413,,,336.2,4184,5703,,336.2,1273752.427,4184,5703,,363.096,1273488.678,4184,5246.76
4632,1411.833555,9.806215378,,,357.2,4632,5660,,357.2,1273541.036,4632,5660,,385.776,1273260.814,4632,5207.2
5079,1548.07915,9.806173438,,,378.2,5079,5616,,378.2,1273329.66,5079,5616,,408.456,1273032.964,5079,5166.72
5526,1684.324746,9.806131497,,,399.2,5526,5569,,399.2,1273118.285,5526,5569,,431.136,1272805.116,5526,5123.48
5974,1820.875142,9.806089463,,,420.1,5974,5521,,420.1,1272907.88,5974,5521,,453.708,1272578.317,5974,5079.32
6421,1957.120737,9.806047524,,,441.1,6421,5474,,441.1,1272696.509,6421,5474,,476.388,1272350.474,6421,5036.08
6868,2093.366333,9.806005584,,,462,6868,5425,,462,1272486.121,6868,5425,,498.96,1272123.691,6868,4991
7316,2229.916729,9.805963551,,,482.9,7316,5376,,482.9,1272275.722,7316,5376,,521.532,1271896.898,7316,4945.92
7763,2366.162324,9.805921612,,,503.8,7763,5327,,503.8,1272065.336,7763,5327,,544.104,1271670.119,7763,4900.84
8211,2502.71272,9.805879579,,,524.7,8211,5276,,524.7,1271854.941,8211,5276,,566.676,1271443.329,8211,4853.92
8658,2638.958316,9.805837641,,,545.6,8658,5226,,545.6,1271644.559,8658,5226,,589.248,1271216.554,8658,4807.92
9105,2775.203911,9.805795703,,,566.6,9105,5175,,566.6,1271433.199,9105,5175,,611.928,1270988.722,9105,4761
9553,2911.754307,9.805753671,,,587.5,9553,5123,,587.5,1271222.809,9553,5123,,634.5,1270761.938,9553,4713.16
10000,3047.999902,9.805711733,,,608.4,10000,5070,,608.4,1271012.433,10000,5070,,657.072,1270535.169,10000,4664.4
10000,3047.999902,9.805711733,,,657.9,10000,5032,,657.9,1270527.05,10000,5032,,710.532,1270010.956,10000,4629.44
11339,3456.127089,9.80558611,,,722.8,11339,4857,,722.8,1269874.39,11339,4857,,780.624,1269307.392,11339,4468.44
12678,3864.254276,9.805460488,,,788.1,12678,4678,,788.1,1269217.825,12678,4678,,851.148,1268599.61,12678,4303.76
14017,4272.381463,9.80533487,,,853.9,14017,4496,,853.9,1268556.374,14017,4496,,922.212,1267886.552,14017,4136.32
15356,4680.50865,9.805209253,,,920.5,15356,4310,,920.5,1267887.096,15356,4310,,994.14,1267165.04,15356,3965.2
16694,5088.331037,9.805083733,,,987.8,16694,4125,,987.8,1267210.983,16694,4125,,1066.824,1266436.146,16694,3795
18033,5496.458224,9.804958121,,,1056,18033,3943,,1056,1266526.05,18033,3943,,1140.48,1265697.728,18033,3627.56
19372,5904.585411,9.804832512,,,1125.2,19372,3772,,1125.2,1265831.331,19372,3772,,1215.216,1264948.739,19372,3470.24
20711,6312.712598,9.804706905,,,1195.4,20711,3605,,1195.4,1265126.824,20711,3605,,1291.032,1264189.181,20711,3316.6
22050,6720.839785,9.804581301,,,1266.7,22050,3441,,1266.7,1264411.551,22050,3441,,1368.036,1263417.993,22050,3165.72
23389,7128.966972,9.804455699,,,1339.4,23389,3278,,1339.4,1263682.569,23389,3278,,1446.552,1262632.002,23389,3015.76
24728,7537.094159,9.8043301,,,1413.4,24728,3115,,1413.4,1262940.86,24728,3115,,1526.472,1261832.265,24728,2865.8
26067,7945.221346,9.804204502,,,1489.1,26067,2941,,1489.1,1262182.503,26067,2941,,1608.228,1261014.548,26067,2705.72
27405,8353.043733,9.804079002,,,1566.7,27405,2768,,1566.7,1261405.55,27405,2768,,1692.036,1260176.746,27405,2546.56
28744,8761.17092,9.803953409,,,1646.4,28744,2599,,1646.4,1260608.016,28744,2599,,1778.112,1259316.717,28744,2391.08
30083,9169.298107,9.803827819,,,1728.5,30083,2429,,1728.5,1259786.973,30083,2429,,1866.78,1258431.3,30083,2234.68
31422,9577.425294,9.803702232,,,1813.6,31422,2232,,1813.6,1258936.54,31422,2232,,1958.688,1257514.14,31422,2053.44
32761,9985.55248,9.803576647,,,1902.3,32761,2050,,1902.3,1258050.836,32761,2050,,2054.484,1256558.888,32761,1886
34100,10393.67967,9.803451064,,,1994.8,34100,1895,,1994.8,1257127.901,34100,1895,,2154.384,1255563.427,34100,1743.4
35439,10801.80685,9.803325484,,,2092,35439,1739,,2092,1256158.914,35439,1739,,2259.36,1254518.23,35439,1599.88
35439,10801.80685,9.803325484,,,2092,35439,2569,,2092,1256158.914,35439,2569,,2259.36,1254518.23,35439,2363.48
35837,10923.11725,9.803288157,,,2112.2,35837,2492,,2112.2,1255956.105,35837,2492,,2281.176,1254299.584,35837,2292.64
36235,11044.42765,9.803250831,,,2133.6,36235,2183,,2133.6,1255741.533,36235,2183,,2304.288,1254068.236,36235,2008.36
36633,11165.73804,9.803213505,,,2156.4,36633,2114,,2156.4,1255513.239,36633,2114,,2328.912,1253822.067,36633,1944.88
37031,11287.04844,9.803176179,,,2179.5,37031,2044,,2179.5,1255282.005,37031,2044,,2353.86,1253572.723,37031,1880.48
37429,11408.35883,9.803138853,,,2202.8,37429,1973,,2202.8,1255048.812,37429,1973,,2379.024,1253321.264,37429,1815.16
37826,11529.36443,9.803101621,,,2226.6,37826,1902,,2226.6,1254810.732,37826,1902,,2404.728,1253064.525,37826,1749.84
38224,11650.67483,9.803064296,,,2250.7,38224,1829,,2250.7,1254569.7,38224,1829,,2430.756,1252804.6,38224,1682.68
38622,11771.98522,9.803026971,,,2275.2,38622,1755,,2275.2,1254324.749,38622,1755,,2457.216,1252540.442,38622,1614.6
39020,11893.29562,9.802989646,,,2300.2,39020,1682,,2300.2,1254074.899,39020,1682,,2484.216,1252270.992,39020,1547.44
39418,12014.60602,9.802952321,,,2325.7,39418,1630,,2325.7,1253820.149,39418,1630,,2511.756,1251996.251,39418,1499.6
39816,12135.91641,9.802914997,,,2351.5,39816,1577,,2351.5,1253562.46,39816,1577,,2539.62,1251718.335,39816,1450.84
40214,12257.22681,9.802877673,,,2377.8,40214,1523,,2377.8,1253299.871,40214,1523,,2568.024,1251435.128,40214,1401.16
40612,12378.5372,9.802840349,,,2404.5,40612,1468,,2404.5,1253033.363,40612,1468,,2596.86,1251147.689,40612,1350.56
41010,12499.8476,9.802803025,,,2431.8,41010,1412,,2431.8,1252760.976,41010,1412,,2626.344,1250853.899,41010,1299.04
41408,12621.158,9.802765701,,,2459.8,41408,1356,,2459.8,1252481.729,41408,1356,,2656.584,1250552.701,41408,1247.52
41806,12742.46839,9.802728378,,,2488.3,41806,1298,,2488.3,1252197.582,41806,1298,,2687.364,1250246.212,41806,1194.16
42204,12863.77879,9.802691055,,,2517.7,42204,1239,,2517.7,1251904.615,42204,1239,,2719.116,1249930.197,42204,1139.88
42602,12985.08918,9.802653732,,,2547.8,42602,1179,,2547.8,1251604.789,42602,1179,,2751.624,1249606.773,42602,1084.68
43000,13106.39958,9.802616409,,,2579,43000,1117,,2579,1251294.182,43000,1117,,2785.32,1249271.706,43000,1027.64
35,10.66799966,9.806646716,500 NM,156045,0,35,3553,,0,1530278.187,35,3553,,0,1530278.187,35,3268.76
198,60.35039807,9.806631421,,,13.7,198,3544,,13.7,1530141.449,198,3544,,14.796,1530130.701,198,3260.48
361,110.0327965,9.806616126,,,27.5,361,3536,,27.5,1530003.731,361,3536,,29.7,1529982.157,361,3253.12
523,159.4103949,9.806600925,,,41.2,523,3528,,41.2,1529867.009,523,3528,,44.496,1529834.687,523,3245.76
686,209.0927933,9.806585631,,,54.9,686,3519,,54.9,1529730.273,686,3519,,59.292,1529687.203,686,3237.48
849,258.7751917,9.806570336,,,68.5,849,3511,,68.5,1529594.518,849,3511,,73.98,1529540.778,849,3230.12
1012,308.4575901,9.806555041,,,82.2,1012,3502,,82.2,1529457.783,1012,3502,,88.776,1529393.295,1012,3221.84
1174,357.8351885,9.806539841,,,95.8,1174,3494,,95.8,1529322.043,1174,3494,,103.464,1529246.886,1174,3214.48
1337,407.517587,9.806524546,,,109.5,1337,3485,,109.5,1529185.308,1337,3485,,118.26,1529099.403,1337,3206.2
1500,457.1999854,9.806509251,,,123.1,1500,3476,,123.1,1529049.555,1500,3476,,132.948,1528952.98,1500,3197.92
1500,457.1999854,9.806509251,,,243,1500,4871,,243,1527873.754,1500,4871,,262.44,1527683.116,1500,4481.32
1947,593.445581,9.806467309,,,268.9,1947,4836,,268.9,1527613.232,1947,4836,,290.412,1527402.275,1947,4449.12
2395,729.9959766,9.806425273,,,294.8,2395,4801,,294.8,1527352.698,2395,4801,,318.384,1527121.423,2395,4416.92
2842,866.2415723,9.806383331,,,320.7,2842,4765,,320.7,1527092.18,2842,4765,,346.356,1526840.587,2842,4383.8
3289,1002.487168,9.806341389,,,346.5,3289,4730,,346.5,1526832.645,3289,4730,,374.22,1526560.813,3289,4351.6
3737,1139.037564,9.806299354,,,372.3,3737,4694,,372.3,1526573.097,3737,4694,,402.084,1526281.027,3737,4318.48
4184,1275.283159,9.806257413,,,398.1,4184,4657,,398.1,1526313.567,4184,4657,,429.948,1526001.257,4184,4284.44
4632,1411.833555,9.806215378,,,423.8,4632,4620,,423.8,1526055.005,4632,4620,,457.704,1525722.535,4632,4250.4
5079,1548.07915,9.806173438,,,449.5,5079,4583,,449.5,1525796.459,5079,4583,,485.46,1525443.829,5079,4216.36
5526,1684.324746,9.806131497,,,475.2,5526,4543,,475.2,1525537.916,5526,4543,,513.216,1525165.126,5526,4179.56
5974,1820.875142,9.806089463,,,500.9,5974,4503,,500.9,1525279.36,5974,4503,,540.972,1524886.41,5974,4142.76
6421,1957.120737,9.806047524,,,526.6,6421,4463,,526.6,1525020.821,6421,4463,,568.728,1524607.712,6421,4105.96
6868,2093.366333,9.806005584,,,552.2,6868,4422,,552.2,1524763.265,6868,4422,,596.376,1524330.075,6868,4068.24
7316,2229.916729,9.805963551,,,577.9,7316,4380,,577.9,1524504.716,7316,4380,,624.132,1524051.367,7316,4029.6
7763,2366.162324,9.805921612,,,603.6,7763,4338,,603.6,1524246.184,7763,4338,,651.888,1523772.675,7763,3990.96
8211,2502.71272,9.805879579,,,629.3,8211,4296,,629.3,1523987.639,8211,4296,,679.644,1523493.972,8211,3952.32
8658,2638.958316,9.805837641,,,655,8658,4253,,655,1523729.111,8658,4253,,707.4,1523215.285,8658,3912.76
9105,2775.203911,9.805795703,,,680.7,9105,4210,,680.7,1523470.585,9105,4210,,735.156,1522936.601,9105,3873.2
9553,2911.754307,9.805753671,,,706.4,9553,4166,,706.4,1523212.047,9553,4166,,762.912,1522657.904,9553,3832.72
10000,3047.999902,9.805711733,,,732.1,10000,4121,,732.1,1522953.526,10000,4121,,790.668,1522379.225,10000,3791.32
10000,3047.999902,9.805711733,,,796.5,10000,4106,,796.5,1522322.038,10000,4106,,860.22,1521697.218,10000,3777.52
11318,3449.72629,9.80558808,,,874.9,11318,3959,,874.9,1521534.083,11318,3959,,944.892,1520847.77,11318,3642.28
12636,3851.452677,9.805464429,,,953.9,12636,3810,,953.9,1520740.264,12636,3810,,1030.212,1519991.99,12636,3505.2
13953,4252.874264,9.805340874,,,1033.8,13953,3658,,1033.8,1519937.655,13953,3658,,1116.504,1519126.714,13953,3365.36
15271,4654.600651,9.805217227,,,1114.6,15271,3503,,1114.6,1519126.227,15271,3503,,1203.768,1518251.916,15271,3222.76
16589,5056.327038,9.805093583,,,1196.5,16589,3348,,1196.5,1518304.034,16589,3348,,1292.22,1517365.49,16589,3080.16
17907,5458.053425,9.804969941,,,1279.5,17907,3199,,1279.5,1517471.075,17907,3199,,1381.86,1516467.439,17907,2943.08
19224,5859.475012,9.804846396,,,1363.9,19224,3057,,1363.9,1516624.426,19224,3057,,1473.012,1515554.599,19224,2812.44
20542,6261.2014,9.804722759,,,1449.7,20542,2917,,1449.7,1515764.056,20542,2917,,1565.676,1514626.944,20542,2683.64
21860,6662.927787,9.804599124,,,1537,21860,2780,,1537,1514889.001,21860,2780,,1659.96,1513683.428,21860,2557.6
23178,7064.654174,9.804475491,,,1626.1,23178,2644,,1626.1,1513996.32,23178,2644,,1756.188,1512720.876,23178,2432.48
24495,7466.075761,9.804351955,,,1717.2,24495,2508,,1717.2,1513084.068,24495,2508,,1854.576,1511737.185,24495,2307.36
25813,7867.802148,9.804228327,,,1810.5,25813,2365,,1810.5,1512150.254,25813,2365,,1955.34,1510730.21,25813,2175.8
27131,8269.528535,9.804104702,,,1906.4,27131,2222,,1906.4,1511190.973,27131,2222,,2058.912,1509695.729,27131,2044.24
28449,8671.254923,9.803981079,,,2005.2,28449,2080,,2005.2,1510203.285,28449,2080,,2165.616,1508630.569,28449,1913.6
29766,9072.67651,9.803857552,,,2107.4,29766,1940,,2107.4,1509182.302,29766,1940,,2275.992,1507529.45,29766,1784.8
31084,9474.402897,9.803733933,,,2213.6,31084,1781,,2213.6,1508122.116,31084,1781,,2390.688,1506385.993,31084,1638.52
32402,9876.129284,9.803610317,,,2324.8,32402,1627,,2324.8,1507012.939,32402,1627,,2510.784,1505189.624,32402,1496.84
33720,10277.85567,9.803486704,,,2441.7,33720,1494,,2441.7,1505847.909,33720,1494,,2637.036,1503932.935,33720,1374.48
35037,10679.27726,9.803363186,,,2565.1,35037,1371,,2565.1,1504619.201,35037,1371,,2770.308,1502607.473,35037,1261.32
35037,10679.27726,9.803363186,,,2565.1,35037,2024,,2565.1,1504619.201,35037,2024,,2770.308,1502607.473,35037,1862.08
35456,10806.98845,9.80332389,,,2592.7,35456,1952,,2592.7,1504342.599,35456,1952,,2800.116,1502309.232,35456,1795.84
35875,10934.69965,9.803284594,,,2620.6,35875,1880,,2620.6,1504063.057,35875,1880,,2830.248,1502007.818,35875,1729.6
36295,11062.71565,9.803245204,,,2650.6,36295,1635,,2650.6,1503762.916,36295,1635,,2862.648,1501684.158,36295,1504.2
36714,11190.42684,9.803205908,,,2682.6,36714,1569,,2682.6,1503443.186,36714,1569,,2897.208,1501339.339,36714,1443.48
37133,11318.13804,9.803166613,,,2715.3,37133,1503,,2715.3,1503116.596,37133,1503,,2932.524,1500987.113,37133,1382.76
37552,11445.84923,9.803127318,,,2748.7,37552,1436,,2748.7,1502783.146,37552,1436,,2968.596,1500627.478,37552,1321.12
37971,11573.56043,9.803088023,,,2782.9,37971,1367,,2782.9,1502441.857,37971,1367,,3005.532,1500259.376,37971,1257.64
38390,11701.27163,9.803048728,,,2818.1,38390,1298,,2818.1,1502090.767,38390,1298,,3043.548,1499880.689,38390,1194.16
38809,11828.98282,9.803009434,,,2854.4,38809,1227,,2854.4,1501728.897,38809,1227,,3082.752,1499490.36,38809,1128.84
39228,11956.69402,9.80297014,,,2891.8,39228,1166,,2891.8,1501356.246,39228,1166,,3123.144,1499088.388,39228,1072.72
39647,12084.40521,9.802930846,,,2930.3,39647,1113,,2930.3,1500972.816,39647,1113,,3164.724,1498674.773,39647,1023.96
40066,12212.11641,9.802891552,,,2970.1,40066,1059,,2970.1,1500576.644,40066,1059,,3207.708,1498247.399,40066,974.28
40485,12339.82761,9.802852259,,,3011.2,40485,1003,,3011.2,1500167.732,40485,1003,,3252.096,1497806.264,40485,922.76
40905,12467.8436,9.802812872,,,3053.9,40905,946,,3053.9,1499743.124,40905,946,,3298.212,1497348.179,40905,870.32
41324,12595.5548,9.802773579,,,3098.5,41324,886,,3098.5,1499299.909,41324,886,,3346.38,1496869.998,41324,815.12
41743,12723.26599,9.802734286,,,3145.3,41743,824,,3145.3,1498835.131,41743,824,,3396.924,1496368.528,41743,758.08
42162,12850.97719,9.802694993,,,3194.9,42162,760,,3194.9,1498342.91,42162,760,,3450.492,1495837.42,42162,699.2
42581,12978.68838,9.802655701,,,3247.8,42581,694,,3247.8,1497818.344,42581,694,,3507.624,1495271.378,42581,638.48
43000,13106.39958,9.802616409,,,3305,43000,625,,3305,1497251.63,43000,625,,3569.4,1494659.819,43000,575
