ADJUSTED G VALUE,,,,,,787-8 RAW DATA FROM PIANO X (< 3000 ROC),,,,787-9 NO PREADJUSTED FUEL BURNT & ROC (< 3000 ROC),,,,,9.80665
Altitude (feet) ,Altitude (m)*,Adjusted G*,RANGE (NM),PAYLOAD (KG),MASS INIT (KG) ,Fuel Burnt (kg) ,Altitude (feet) ,ROC (feet/min) ,,Fuel Burnt (kg) ,Weight (N)**,Altitude (feet) ,ROC (feet/min),,63710088
35,10.66799966,9.806646716,7400,STANDARD,227818,0,35,2357,,0,2234130.642,35,2357,,
198,60.35039807,9.806631421,,,,20.8,198,2349,,20.8,2233923.179,198,2349,,
361,110.0327965,9.806616126,,,,41.7,361,2341,,41.7,2233714.737,361,2341,,
523,159.4103949,9.806600925,,,,62.5,523,2333,,62.5,2233507.297,523,2333,,
686,209.0927933,9.806585631,,,,83.3,686,2325,,83.3,2233299.837,686,2325,,
849,258.7751917,9.806570336,,,,104.2,849,2317,,104.2,2233091.396,849,2317,,
1012,308.4575901,9.806555041,,,,125,1012,2309,,125,2232883.937,1012,2309,,
1174,357.8351885,9.806539841,,,,145.8,1174,2301,,145.8,2232676.5,1174,2301,,
1337,407.517587,9.806524546,,,,166.7,1337,2293,,166.7,2232468.061,1337,2293,,
1500,457.1999854,9.806509251,,,,187.5,1500,2285,,187.5,2232260.604,1500,2285,,
1500,457.1999854,9.806509251,,,,340.8,1500,2993,,340.8,2230757.266,1500,2993,,
1947,593.445581,9.806467309,,,,383.1,1947,2967,,383.1,2230332.912,1947,2967,,
2395,729.9959766,9.806425273,,,,425.3,2395,2941,,425.3,2229909.52,2395,2941,,
2842,866.2415723,9.806383331,,,,467.5,2842,2914,,467.5,2229486.153,2842,2914,,
3289,1002.487168,9.806341389,,,,509.8,3289,2888,,509.8,2229061.81,3289,2888,,
3737,1139.037564,9.806299354,,,,552.1,3737,2861,,552.1,2228637.448,3737,2861,,
4184,1275.283159,9.806257413,,,,594.4,4184,2834,,594.4,2228213.112,4184,2834,,
4632,1411.833555,9.806215378,,,,636.7,4632,2807,,636.7,2227788.758,4632,2807,,
5079,1548.07915,9.806173438,,,,679.1,5079,2779,,679.1,2227363.448,5079,2779,,
5526,1684.324746,9.806131497,,,,721.5,5526,2750,,721.5,2226938.142,5526,2750,,
5974,1820.875142,9.806089463,,,,764,5974,2720,,764,2226511.837,5974,2720,,
6421,1957.120737,9.806047524,,,,806.5,6421,2690,,806.5,2226085.557,6421,2690,,
6868,2093.366333,9.806005584,,,,849.2,6868,2659,,849.2,2225657.32,6868,2659,,
7316,2229.916729,9.805963551,,,,891.9,7316,2629,,891.9,2225229.065,7316,2629,,
7763,2366.162324,9.805921612,,,,934.7,7763,2598,,934.7,2224799.855,7763,2598,,
8211,2502.71272,9.805879579,,,,977.7,8211,2566,,977.7,2224368.666,8211,2566,,
8658,2638.958316,9.805837641,,,,1020.7,8658,2534,,1020.7,2223937.501,8658,2534,,
9105,2775.203911,9.805795703,,,,1063.9,9105,2502,,1063.9,2223504.379,9105,2502,,
9553,2911.754307,9.805753671,,,,1107.2,9553,2470,,1107.2,2223070.259,9553,2470,,
10000,3047.999902,9.805711733,,,,1150.7,10000,2437,,1150.7,2222634.203,10000,2437,,
10000,3047.999902,9.805711733,,,,1283.9,10000,2569,,1283.9,2221328.082,10000,2569,,
11180,3407.663891,9.805601027,,,,1397.2,11180,2473,,1397.2,2220192.029,11180,2473,,
12360,3767.327879,9.805490322,,,,1512,12360,2375,,1512,2219041.293,12360,2375,,
13540,4126.991868,9.805379619,,,,1628.5,13540,2275,,1628.5,2217873.913,13540,2275,,
14720,4486.655856,9.805268918,,,,1747,14720,2174,,1747,2216686.95,14720,2174,,
15900,4846.319845,9.805158219,,,,1867.6,15900,2077,,1867.6,2215479.422,15900,2077,,
17080,5205.983833,9.805047522,,,,1990.5,17080,1986,,1990.5,2214249.369,17080,1986,,
18259,5565.343022,9.804936921,,,,2115.9,18259,1893,,2115.9,2212994.853,18259,1893,,
19439,5925.00701,9.804826227,,,,2244.2,19439,1800,,2244.2,2211711.91,19439,1800,,
20619,6284.670999,9.804715536,,,,2375.7,20619,1709,,2375.7,2210397.621,20619,1709,,
21799,6644.334987,9.804604846,,,,2510.6,21799,1620,,2510.6,2209050.026,21799,1620,,
22979,7003.998976,9.804494158,,,,2649.4,22979,1531,,2649.4,2207664.223,22979,1531,,
24159,7363.662964,9.804383472,,,,2792.6,24159,1444,,2792.6,2206235.313,24159,1444,,
25339,7723.326953,9.804272788,,,,2940.8,25339,1357,,2940.8,2204757.413,25339,1357,,
26519,8082.990941,9.804162106,,,,3094.6,26519,1264,,3094.6,2203224.643,26519,1264,,
27699,8442.65493,9.804051425,,,,3255.3,27699,1172,,3255.3,2201624.259,27699,1172,,
28879,8802.318918,9.803940747,,,,3423.8,28879,1081,,3423.8,2199947.441,28879,1081,,
30059,9161.982907,9.80383007,,,,3601.6,30059,991,,3601.6,2198179.485,30059,991,,
31239,9521.646895,9.803719396,,,,3791.6,31239,887,,3791.6,2196291.963,31239,887,,
32418,9881.006084,9.803608817,,,,3997.5,32418,787,,3997.5,2194248.627,32418,787,,
32418,9881.006084,9.803608817,,,,3997.5,32418,1146,,3997.5,2194248.627,32418,1146,,
32607,9938.613282,9.80359109,,,,4021.2,32607,1126,,4021.2,2194012.315,32607,1126,,
32795,9995.91568,9.803573458,,,,4045.1,32795,1106,,4045.1,2193774.063,32795,1106,,
32984,10053.52288,9.803555732,,,,4069.4,32984,1086,,4069.4,2193531.87,32984,1086,,
33172,10110.82528,9.8035381,,,,4093.9,33172,1065,,4093.9,2193287.738,33172,1065,,
33361,10168.43247,9.803520373,,,,4118.7,33361,1044,,4118.7,2193040.645,33361,1044,,
33549,10225.73487,9.803502741,,,,4143.8,33549,1023,,4143.8,2192790.633,33549,1023,,
33738,10283.34207,9.803485015,,,,4169.3,33738,1001,,4169.3,2192536.679,33738,1001,,
33926,10340.64447,9.803467383,,,,4195.2,33926,979,,4195.2,2192278.826,33926,979,,
34115,10398.25167,9.803449657,,,,4221.4,34115,956,,4221.4,2192018.012,34115,956,,
34303,10455.55407,9.803432025,,,,4248.2,34303,933,,4248.2,2191751.337,34303,933,,
34492,10513.16126,9.8034143,,,,4275.4,34492,909,,4275.4,2191480.721,34492,909,,
34680,10570.46366,9.803396668,,,,4303.1,34680,885,,4303.1,2191205.226,34680,885,,
34869,10628.07086,9.803378942,,,,4331.4,34869,860,,4331.4,2190923.828,34869,860,,
35057,10685.37326,9.80336131,,,,4360.3,35057,834,,4360.3,2190636.571,35057,834,,
35246,10742.98046,9.803343585,,,,4389.9,35246,803,,4389.9,2190342.431,35246,803,,
35434,10800.28285,9.803325953,,,,4420.5,35434,771,,4420.5,2190038.51,35434,771,,
35623,10857.89005,9.803308227,,,,4452,35623,738,,4452,2189725.746,35623,738,,
35811,10915.19245,9.803290596,,,,4484.7,35811,704,,4484.7,2189401.24,35811,704,,
36000,10972.79965,9.80327287,,,,4518.7,36000,669,,4518.7,2189063.97,36000,669,,
36000,10972.79965,9.80327287,,,,26628.4,36000,1013,,26628.4,1972316.547,36000,1013,,
36105,11004.80365,9.803263023,,,,26642.3,36105,899,,26642.3,1972178.301,36105,899,,
36211,11037.11245,9.803253082,,,,26657,36211,883,,26657,1972032.193,36211,883,,
36316,11069.11645,9.803243234,,,,26672,36316,867,,26672,1971883.164,36316,867,,
36421,11101.12044,9.803233387,,,,26687.1,36421,850,,26687.1,1971733.154,36421,850,,
36526,11133.12444,9.80322354,,,,26702.4,36526,834,,26702.4,1971581.184,36526,834,,
36632,11165.43324,9.803213599,,,,26718,36632,817,,26718,1971426.255,36632,817,,
36737,11197.43724,9.803203751,,,,26733.8,36737,800,,26733.8,1971269.384,36737,800,,
36842,11229.44124,9.803193904,,,,26749.9,36842,783,,26749.9,1971109.572,36842,783,,
36947,11261.44524,9.803184057,,,,26766.2,36947,765,,26766.2,1970947.8,36947,765,,
37053,11293.75404,9.803174116,,,,26782.8,37053,748,,26782.8,1970783.069,37053,748,,
37158,11325.75804,9.803164268,,,,26799.7,37158,730,,26799.7,1970615.416,37158,730,,
37263,11357.76204,9.803154421,,,,26817,37263,713,,26817,1970443.842,37263,713,,
37368,11389.76604,9.803144574,,,,26834.5,37368,695,,26834.5,1970270.307,37368,695,,
37474,11422.07483,9.803134633,,,,26852.5,37474,676,,26852.5,1970091.853,37474,676,,
37579,11454.07883,9.803124786,,,,26870.8,37579,658,,26870.8,1969910.477,37579,658,,
37684,11486.08283,9.803114938,,,,26889.5,37684,639,,26889.5,1969725.18,37684,639,,
37789,11518.08683,9.803105091,,,,26908.7,37789,621,,26908.7,1969534.982,37789,621,,
37895,11550.39563,9.80309515,,,,26928.4,37895,602,,26928.4,1969339.864,37895,602,,
38000,11582.39963,9.803085303,,,,26948.6,38000,582,,26948.6,1969139.863,38000,582,,
38000,11582.39963,9.803085303,,,,45149.9,38000,875,,45149.9,1790710.966,38000,875,,
38105,11614.40363,9.803075456,,,,45163.7,38105,857,,45163.7,1790573.885,38105,857,,
38211,11646.71243,9.803065515,,,,45177.6,38211,840,,45177.6,1790435.807,38211,840,,
38316,11678.71643,9.803055668,,,,45191.7,38316,822,,45191.7,1790295.785,38316,822,,
38421,11710.72043,9.803045821,,,,45206,38421,804,,45206,1790153.803,38421,804,,
38526,11742.72442,9.803035974,,,,45220.6,38526,785,,45220.6,1790008.881,38526,785,,
38632,11775.03322,9.803026033,,,,45235.5,38632,767,,45235.5,1789861.001,38632,767,,
38737,11807.03722,9.803016186,,,,45250.6,38737,748,,45250.6,1789711.177,38737,748,,
38842,11839.04122,9.803006339,,,,45266,38842,730,,45266,1789558.413,38842,730,,
38947,11871.04522,9.802996492,,,,45281.7,38947,711,,45281.7,1789402.709,38947,711,,
39053,11903.35402,9.802986551,,,,45297.7,39053,694,,45297.7,1789244.046,39053,694,,
39158,11935.35802,9.802976704,,,,45314,39158,679,,45314,1789082.46,39158,679,,
39263,11967.36202,9.802966857,,,,45330.6,39263,664,,45330.6,1788917.934,39263,664,,
39368,11999.36602,9.80295701,,,,45347.6,39368,649,,45347.6,1788749.487,39368,649,,
39474,12031.67481,9.80294707,,,,45364.8,39474,633,,45364.8,1788579.062,39474,633,,
39579,12063.67881,9.802937223,,,,45382.4,39579,618,,45382.4,1788404.734,39579,618,,
39684,12095.68281,9.802927376,,,,45400.3,39684,602,,45400.3,1788227.465,39684,602,,
39789,12127.68681,9.802917529,,,,45418.7,39789,586,,45418.7,1788045.295,39789,586,,
39895,12159.99561,9.802907588,,,,45437.5,39895,570,,45437.5,1787859.187,39895,570,,
40000,12191.99961,9.802897741,,,,45456.7,40000,553,,45456.7,1787669.176,40000,553,,
40000,12191.99961,9.802897741,,,,68050.2,40000,947,,68050.2,1566187.406,40000,947,,
40158,12240.15801,9.802882924,,,,68067.4,40158,926,,68067.4,1566016.429,40158,926,,
40316,12288.31641,9.802868107,,,,68084.9,40316,904,,68084.9,1565842.512,40316,904,,
40474,12336.47481,9.80285329,,,,68102.7,40474,883,,68102.7,1565665.654,40474,883,,
40632,12384.6332,9.802838473,,,,68120.8,40632,860,,68120.8,1565485.856,40632,860,,
40789,12432.4868,9.80282375,,,,68139.3,40789,838,,68139.3,1565302.153,40789,838,,
40947,12480.6452,9.802808933,,,,68158.1,40947,815,,68158.1,1565115.494,40947,815,,
41105,12528.8036,9.802794116,,,,68177.3,41105,792,,68177.3,1564924.915,41105,792,,
41263,12576.962,9.802779299,,,,68197,41263,768,,68197,1564729.434,41263,768,,
41421,12625.1204,9.802764482,,,,68217.1,41421,745,,68217.1,1564530.034,41421,745,,
41579,12673.27879,9.802749665,,,,68237.8,41579,720,,68237.8,1564324.752,41579,720,,
41737,12721.43719,9.802734848,,,,68258.9,41737,696,,68258.9,1564115.55,41737,696,,
41895,12769.59559,9.802720032,,,,68280.7,41895,671,,68280.7,1563899.487,41895,671,,
42053,12817.75399,9.802705215,,,,68303.2,42053,645,,68303.2,1563676.562,42053,645,,
42211,12865.91239,9.802690398,,,,68326.4,42211,619,,68326.4,1563446.776,42211,619,,
42368,12913.76599,9.802675675,,,,68350.4,42368,593,,68350.4,1563209.164,42368,593,,
42526,12961.92439,9.802660859,,,,68375.3,42526,566,,68375.3,1562962.714,42526,566,,
42684,13010.08278,9.802646042,,,,68401.2,42684,539,,68401.2,1562706.464,42684,539,,
42842,13058.24118,9.802631225,,,,68428.3,42842,512,,68428.3,1562438.45,42842,512,,
43000,13106.39958,9.802616409,,,,68456.6,43000,483,,68456.6,1562158.675,43000,483,,
0,0,9.80665,7400,10000,211368,0,35,2580,,0,2072811.997,35,2580,,
19,5.791199815,9.806648217,,,,19,198,2572,,19,2072625.294,198,2572,,
38,11.58239963,9.806646434,,,,38,361,2564,,38,2072438.591,361,2564,,
57,17.37359944,9.806644651,,,,57,523,2556,,57,2072251.888,523,2556,,
76,23.16479926,9.806642869,,,,76,686,2548,,76,2072065.185,686,2548,,
95,28.95599907,9.806641086,,,,95,849,2540,,95,2071878.482,849,2540,,
114,34.74719889,9.806639303,,,,114,1012,2531,,114,2071691.779,1012,2531,,
133,40.5383987,9.80663752,,,,133,1174,2523,,133,2071505.077,1174,2523,,
152,46.32959852,9.806635737,,,,152,1337,2515,,152,2071318.374,1337,2515,,
171,52.12079833,9.806633955,,,,171,1500,2507,,171,2071131.671,1500,2507,,
770.4,234.8179125,9.806577711,,,,770.4,6868,2996,,770.4,2065241.73,6868,2996,,
808.3,246.3698321,9.806574155,,,,808.3,7316,2963,,808.3,2064869.312,7316,2963,,
846.3,257.9522317,9.806570589,,,,846.3,7763,2931,,846.3,2064495.912,7763,2931,,
884.3,269.5346314,9.806567024,,,,884.3,8211,2897,,884.3,2064122.511,8211,2897,,
922.4,281.147511,9.806563449,,,,922.4,8658,2864,,922.4,2063748.129,8658,2864,,
960.6,292.7908706,9.806559864,,,,960.6,9105,2830,,960.6,2063372.764,9105,2830,,
998.9,304.4647103,9.80655627,,,,998.9,9553,2796,,998.9,2062996.417,9553,2796,,
1037.3,316.1690299,9.806552667,,,,1037.3,10000,2761,,1037.3,2062619.087,10000,2761,,
1150.4,350.6419088,9.806542055,,,,1150.4,10000,2837,,1150.4,2061507.735,10000,2837,,
1255.6,382.7068678,9.806532184,,,,1255.6,11213,2733,,1255.6,2060474.013,11213,2733,,
1362,415.1375867,9.8065222,,,,1362,12425,2626,,1362,2059428.501,12425,2626,,
1469.8,447.9950257,9.806512085,,,,1469.8,13638,2517,,1469.8,2058369.235,13638,2517,,
1579.4,481.4011046,9.806501801,,,,1579.4,14850,2407,,1579.4,2057292.284,14850,2407,,
1690.8,515.3558235,9.806491348,,,,1690.8,16063,2298,,1690.8,2056197.648,16063,2298,,
1804.2,549.9201424,9.806480708,,,,1804.2,17275,2199,,1804.2,2055083.362,17275,2199,,
1919.7,585.1245413,9.806469871,,,,1919.7,18488,2098,,1919.7,2053948.443,18488,2098,,
2037.7,621.0909401,9.806458798,,,,2037.7,19701,1996,,2037.7,2052788.962,19701,1996,,
2158.4,657.8802989,9.806447473,,,,2158.4,20913,1898,,2158.4,2051602.953,20913,1898,,
2282.1,695.5840577,9.806435866,,,,2282.1,22126,1801,,2282.1,2050387.469,22126,1801,,
2409.1,734.2936565,9.80642395,,,,2409.1,23338,1704,,2409.1,2049139.562,23338,1704,,
2539.9,774.1614952,9.806411677,,,,2539.9,24551,1610,,2539.9,2047854.318,24551,1610,,
2674.9,815.3094939,9.80639901,,,,2674.9,25763,1511,,2674.9,2046527.809,25763,1511,,
2814.9,857.9814925,9.806385874,,,,2814.9,26976,1410,,2814.9,2045152.174,26976,1410,,
2960.6,902.3908511,9.806372203,,,,2960.6,28188,1310,,2960.6,2043720.534,28188,1310,,
3113,948.8423696,9.806357903,,,,3113,29401,1211,,3113,2042223.065,29401,1211,,
3273.5,997.7627681,9.806342844,,,,3273.5,30614,1105,,3273.5,2040646.011,30614,1105,,
3444.3,1049.822606,9.806326818,,,,3444.3,31826,995,,3444.3,2038967.755,31826,995,,
3628.1,1105.844845,9.806309572,,,,3628.1,33039,891,,3628.1,2037161.77,33039,891,,
3628.1,1105.844845,9.806309572,,,,3628.1,33039,1302,,3628.1,2037161.77,33039,1302,,
3644.9,1110.965484,9.806307996,,,,3644.9,33195,1286,,3644.9,2036996.696,33195,1286,,
3661.9,1116.147084,9.806306401,,,,3661.9,33350,1270,,3661.9,2036829.658,33350,1270,,
3679,1121.359164,9.806304796,,,,3679,33506,1253,,3679,2036661.637,33506,1253,,
3696.2,1126.601724,9.806303182,,,,3696.2,33662,1237,,3696.2,2036492.633,33662,1237,,
3713.6,1131.905244,9.80630155,,,,3713.6,33818,1220,,3713.6,2036321.665,33818,1220,,
3731.1,1137.239244,9.806299908,,,,3731.1,33974,1203,,3731.1,2036149.713,33974,1203,,
3748.7,1142.603723,9.806298256,,,,3748.7,34130,1186,,3748.7,2035976.78,34130,1186,,
3766.5,1148.029163,9.806296586,,,,3766.5,34286,1168,,3766.5,2035801.881,34286,1168,,
3784.5,1153.515563,9.806294897,,,,3784.5,34441,1150,,3784.5,2035625.017,34441,1150,,
3802.6,1159.032443,9.806293199,,,,3802.6,34597,1133,,3802.6,2035447.17,34597,1133,,
3820.9,1164.610283,9.806291482,,,,3820.9,34753,1114,,3820.9,2035267.359,34753,1114,,
3839.4,1170.249083,9.806289746,,,,3839.4,34909,1096,,3839.4,2035085.582,34909,1096,,
3858.1,1175.948842,9.806287991,,,,3858.1,35065,1075,,3858.1,2034901.84,35065,1075,,
3877,1181.709562,9.806286218,,,,3877,35221,1051,,3877,2034716.134,35221,1051,,
3896.3,1187.592202,9.806284407,,,,3896.3,35377,1027,,3896.3,2034526.497,35377,1027,,
3915.8,1193.535802,9.806282578,,,,3915.8,35532,1003,,3915.8,2034334.895,35532,1003,,
3935.7,1199.601322,9.80628071,,,,3935.7,35688,978,,3935.7,2034139.362,35688,978,,
3955.9,1205.758281,9.806278815,,,,3955.9,35844,953,,3955.9,2033940.882,35844,953,,
3976.5,1212.037161,9.806276882,,,,3976.5,36000,928,,3976.5,2033738.472,36000,928,,
10171.2,3100.181661,9.805695671,,,,10171.2,36000,1012,,10171.2,1972874.591,36000,1012,,
10185.1,3104.418381,9.805694367,,,,10185.1,36105,899,,10185.1,1972738.029,36105,899,,
10199.8,3108.898941,9.805692988,,,,10199.8,36211,883,,10199.8,1972593.608,36211,883,,
10214.7,3113.44046,9.80569159,,,,10214.7,36316,866,,10214.7,1972447.222,36316,866,,
10229.9,3118.07342,9.805690164,,,,10229.9,36421,850,,10229.9,1972297.889,36421,850,,
10245.2,3122.73686,9.805688729,,,,10245.2,36526,833,,10245.2,1972147.573,36526,833,,
10260.8,3127.49174,9.805687265,,,,10260.8,36632,817,,10260.8,1971994.31,36632,817,,
10276.6,3132.30758,9.805685783,,,,10276.6,36737,800,,10276.6,1971839.082,36737,800,,
10292.7,3137.21486,9.805684272,,,,10292.7,36842,783,,10292.7,1971680.907,36842,783,,
10309,3142.183099,9.805682743,,,,10309,36947,765,,10309,1971520.767,36947,765,,
10325.6,3147.242779,9.805681186,,,,10325.6,37053,748,,10325.6,1971357.679,37053,748,,
10342.6,3152.424379,9.805679591,,,,10342.6,37158,730,,10342.6,1971190.662,37158,730,,
10359.8,3157.666939,9.805677977,,,,10359.8,37263,712,,10359.8,1971021.68,37263,712,,
10377.4,3163.031419,9.805676326,,,,10377.4,37368,694,,10377.4,1970848.768,37368,694,,
10395.3,3168.487339,9.805674647,,,,10395.3,37474,676,,10395.3,1970672.909,37474,676,,
10413.6,3174.065178,9.80567293,,,,10413.6,37579,658,,10413.6,1970493.12,37579,658,,
10432.4,3179.795418,9.805671166,,,,10432.4,37684,639,,10432.4,1970308.419,37684,639,,
10451.6,3185.647578,9.805669364,,,,10451.6,37789,620,,10451.6,1970119.788,37789,620,,
10471.2,3191.621658,9.805667526,,,,10471.2,37895,601,,10471.2,1969927.228,37895,601,,
10491.4,3197.778618,9.80566563,,,,10491.4,38000,582,,10491.4,1969728.773,38000,582,,
28694.5,8746.08332,9.803958052,,,,28694.5,38000,875,,28694.5,1790923.331,38000,875,,
28708.2,8750.25908,9.803956767,,,,28708.2,38105,857,,28708.2,1790788.782,38105,857,,
28722.1,8754.4958,9.803955463,,,,28722.1,38211,839,,28722.1,1790652.269,38211,839,,
28736.2,8758.79348,9.803954141,,,,28736.2,38316,822,,28736.2,1790513.792,38316,822,,
28750.6,8763.1826,9.80395279,,,,28750.6,38421,803,,28750.6,1790372.368,38421,803,,
28765.2,8767.632679,9.803951421,,,,28765.2,38526,785,,28765.2,1790228.981,38526,785,,
28780,8772.143719,9.803950033,,,,28780,38632,767,,28780,1790083.629,38632,767,,
28795.2,8776.776679,9.803948607,,,,28795.2,38737,748,,28795.2,1789934.348,38737,748,,
28810.6,8781.470599,9.803947163,,,,28810.6,38842,729,,28810.6,1789783.104,38842,729,,
28826.3,8786.255959,9.80394569,,,,28826.3,38947,711,,28826.3,1789628.913,38947,711,,
28842.3,8791.132759,9.803944189,,,,28842.3,39053,694,,28842.3,1789471.776,39053,694,,
28858.6,8796.100999,9.80394266,,,,28858.6,39158,679,,28858.6,1789311.693,39158,679,,
28875.2,8801.160678,9.803941103,,,,28875.2,39263,664,,28875.2,1789148.663,39263,664,,
28892.1,8806.311798,9.803939518,,,,28892.1,39368,649,,28892.1,1788982.687,39368,649,,
28909.4,8811.584838,9.803937896,,,,28909.4,39474,633,,28909.4,1788812.783,39474,633,,
28927,8816.949318,9.803936245,,,,28927,39579,618,,28927,1788639.932,39579,618,,
